cod;nome;período;valor
1076;BRA;1989;725
1076;BRA;1990;814
1076;BRA;1991;857
1076;BRA;1992;888
1076;BRA;1993;967
1076;BRA;1994;1086
1076;BRA;1995;1340
1076;BRA;1996;1317
1076;BRA;1997;1300
1076;BRA;1998;1220
1076;BRA;1999;1105
1076;BRA;2000;1156
1076;BRA;2001;1233
1076;BRA;2002;1196
1076;BRA;2003;1185
1076;BRA;2004;1097
1076;BRA;2005;1100
1076;BRA;2006;1003
1076;BRA;2007;1005
1076;BRA;2008;1007
1076;BRA;2009;958
1076;BRA;2010;868
1076;BRA;2011;832
1076;BRA;2012;880
1076;BRA;2013;933
1076;BRA;2014;874
1076;BRA;2015;818
1076;BRA;2016;865
1076;BRA;2017;850
1076;BRA;2018;888
1076;BRA;2019;884
1076;BRA;2020;864
1076;BRA;2021;957
1076;BRA;2022;992
