cod;nome;período;valor
4;S;1989;200
5;CO;1989;90
1;N;1989;53
2;NE;1989;95
3;SE;1989;287
5;CO;1990;77
1;N;1990;43
2;NE;1990;134
3;SE;1990;318
4;S;1990;242
4;S;1991;227
1;N;1991;59
2;NE;1991;137
3;SE;1991;328
5;CO;1991;106
4;S;1992;235
1;N;1992;41
2;NE;1992;129
3;SE;1992;368
5;CO;1992;115
2;NE;1993;144
5;CO;1993;127
4;S;1993;273
3;SE;1993;374
1;N;1993;49
3;SE;1994;427
1;N;1994;50
2;NE;1994;163
4;S;1994;320
5;CO;1994;126
4;S;1995;419
3;SE;1995;477
2;NE;1995;202
1;N;1995;57
5;CO;1995;185
1;N;1996;39
5;CO;1996;195
4;S;1996;431
3;SE;1996;480
2;NE;1996;172
1;N;1997;60
5;CO;1997;158
4;S;1997;428
3;SE;1997;472
2;NE;1997;182
2;NE;1998;160
5;CO;1998;136
4;S;1998;447
3;SE;1998;404
1;N;1998;73
2;NE;1999;155
5;CO;1999;131
4;S;1999;448
3;SE;1999;325
1;N;1999;46
3;SE;2000;362
1;N;2000;50
5;CO;2000;163
2;NE;2000;146
4;S;2000;435
3;SE;2001;425
4;S;2001;408
2;NE;2001;177
1;N;2001;66
5;CO;2001;157
5;CO;2002;163
3;SE;2002;416
1;N;2002;48
2;NE;2002;180
4;S;2002;389
2;NE;2003;156
5;CO;2003;155
4;S;2003;402
1;N;2003;56
3;SE;2003;416
4;S;2004;380
1;N;2004;63
2;NE;2004;171
3;SE;2004;384
5;CO;2004;99
1;N;2005;61
3;SE;2005;393
4;S;2005;350
2;NE;2005;182
5;CO;2005;114
4;S;2006;310
1;N;2006;48
2;NE;2006;182
3;SE;2006;368
5;CO;2006;95
2;NE;2007;193
1;N;2007;66
3;SE;2007;327
4;S;2007;323
5;CO;2007;96
5;CO;2008;107
1;N;2008;79
2;NE;2008;191
3;SE;2008;335
4;S;2008;295
4;S;2009;304
1;N;2009;59
2;NE;2009;165
3;SE;2009;338
5;CO;2009;92
4;S;2010;232
1;N;2010;55
2;NE;2010;173
3;SE;2010;334
5;CO;2010;74
4;S;2011;236
1;N;2011;64
2;NE;2011;133
3;SE;2011;319
5;CO;2011;80
4;S;2012;251
3;SE;2012;298
2;NE;2012;159
1;N;2012;90
5;CO;2012;82
4;S;2013;286
5;CO;2013;95
3;SE;2013;319
2;NE;2013;157
1;N;2013;76
5;CO;2014;93
1;N;2014;51
2;NE;2014;174
3;SE;2014;314
4;S;2014;242
4;S;2015;265
1;N;2015;56
2;NE;2015;151
3;SE;2015;262
5;CO;2015;84
4;S;2016;242
1;N;2016;63
2;NE;2016;156
3;SE;2016;314
5;CO;2016;90
4;S;2017;259
1;N;2017;59
2;NE;2017;190
3;SE;2017;266
5;CO;2017;76
2;NE;2018;167
1;N;2018;47
3;SE;2018;282
4;S;2018;284
5;CO;2018;108
5;CO;2019;98
1;N;2019;64
2;NE;2019;176
3;SE;2019;284
4;S;2019;262
5;CO;2020;81
3;SE;2020;256
4;S;2020;295
2;NE;2020;175
1;N;2020;57
3;SE;2021;308
4;S;2021;260
2;NE;2021;197
1;N;2021;71
5;CO;2021;121
3;SE;2022;325
4;S;2022;302
2;NE;2022;181
1;N;2022;66
5;CO;2022;118
