cod;nome;período;valor
53;DF;1989;21
52;GO;1989;38
51;MT;1989;11
50;MS;1989;20
43;RS;1989;104
42;SC;1989;28
41;PR;1989;68
35;SP;1989;160
33;RJ;1989;34
32;ES;1989;15
31;MG;1989;78
29;BA;1989;18
28;SE;1989;1
27;AL;1989;10
26;PE;1989;22
25;PB;1989;7
24;RN;1989;13
23;CE;1989;15
22;PI;1989;5
21;MA;1989;4
17;TO;1989;6
16;AP;1989;1
12;AC;1989;5
13;AM;1989;9
14;RR;1989;0
15;PA;1989;22
11;RO;1989;10
11;RO;1990;13
17;TO;1990;2
21;MA;1990;7
22;PI;1990;3
23;CE;1990;26
24;RN;1990;5
25;PB;1990;12
26;PE;1990;44
27;AL;1990;12
28;SE;1990;1
29;BA;1990;24
31;MG;1990;89
32;ES;1990;15
33;RJ;1990;43
35;SP;1990;171
41;PR;1990;71
42;SC;1990;44
43;RS;1990;127
50;MS;1990;28
51;MT;1990;12
52;GO;1990;22
53;DF;1990;15
15;PA;1990;20
14;RR;1990;1
13;AM;1990;3
12;AC;1990;4
16;AP;1990;0
13;AM;1991;6
17;TO;1991;2
21;MA;1991;6
22;PI;1991;4
23;CE;1991;30
24;RN;1991;11
25;PB;1991;7
26;PE;1991;35
27;AL;1991;10
28;SE;1991;9
15;PA;1991;28
14;RR;1991;3
12;AC;1991;11
11;RO;1991;8
29;BA;1991;25
31;MG;1991;85
32;ES;1991;24
33;RJ;1991;31
35;SP;1991;188
41;PR;1991;62
42;SC;1991;51
43;RS;1991;114
50;MS;1991;22
51;MT;1991;12
52;GO;1991;41
53;DF;1991;31
16;AP;1991;1
26;PE;1992;32
27;AL;1992;14
28;SE;1992;12
29;BA;1992;31
31;MG;1992;120
32;ES;1992;18
33;RJ;1992;29
11;RO;1992;1
12;AC;1992;2
13;AM;1992;13
14;RR;1992;1
15;PA;1992;18
16;AP;1992;2
17;TO;1992;4
41;PR;1992;75
35;SP;1992;201
53;DF;1992;26
52;GO;1992;52
51;MT;1992;13
50;MS;1992;24
43;RS;1992;134
42;SC;1992;26
21;MA;1992;3
22;PI;1992;5
