cod;nome;período;valor
1076;BRA;1989;3417
1076;BRA;1990;3618
1076;BRA;1991;3980
1076;BRA;1992;4081
1076;BRA;1993;4354
1076;BRA;1994;4632
1076;BRA;1995;5174
1076;BRA;1996;5332
1076;BRA;1997;5496
1076;BRA;1998;5525
1076;BRA;1999;5300
1076;BRA;2000;5398
1076;BRA;2001;6177
1076;BRA;2002;6028
1076;BRA;2003;6256
1076;BRA;2004;6311
1076;BRA;2005;6744
1076;BRA;2006;6834
1076;BRA;2007;6995
1076;BRA;2008;7375
1076;BRA;2009;7500
1076;BRA;2010;7375
1076;BRA;2011;7762
1076;BRA;2012;8061
1076;BRA;2013;8309
1076;BRA;2014;8419
1076;BRA;2015;8780
1076;BRA;2016;9053
1076;BRA;2017;9826
1076;BRA;2018;9999
1076;BRA;2019;10599
1076;BRA;2020;10868
1076;BRA;2021;12064
1076;BRA;2022;12908
