cod;nome;período;valor
1;N;1989;169
2;NE;1989;410
3;SE;1989;1494
4;S;1989;1077
5;CO;1989;267
5;CO;1990;226
4;S;1990;1094
3;SE;1990;1663
2;NE;1990;485
1;N;1990;150
1;N;1991;192
2;NE;1991;571
3;SE;1991;1704
4;S;1991;1211
5;CO;1991;302
2;NE;1992;561
5;CO;1992;325
4;S;1992;1251
3;SE;1992;1769
1;N;1992;175
5;CO;1993;375
4;S;1993;1209
3;SE;1993;1913
2;NE;1993;659
1;N;1993;198
1;N;1994;186
5;CO;1994;374
4;S;1994;1319
3;SE;1994;2040
2;NE;1994;713
5;CO;1995;484
4;S;1995;1526
3;SE;1995;2159
2;NE;1995;790
1;N;1995;215
5;CO;1996;477
4;S;1996;1537
3;SE;1996;2232
2;NE;1996;838
1;N;1996;248
5;CO;1997;462
4;S;1997;1634
3;SE;1997;2336
2;NE;1997;835
1;N;1997;229
1;N;1998;298
3;SE;1998;2277
4;S;1998;1725
5;CO;1998;409
2;NE;1998;816
1;N;1999;228
5;CO;1999;471
4;S;1999;1709
3;SE;1999;2022
2;NE;1999;870
5;CO;2000;571
4;S;2000;1653
3;SE;2000;2014
2;NE;2000;872
1;N;2000;288
4;S;2001;1785
1;N;2001;333
2;NE;2001;1132
3;SE;2001;2391
5;CO;2001;536
4;S;2002;1653
1;N;2002;285
2;NE;2002;1169
3;SE;2002;2313
5;CO;2002;608
4;S;2003;1666
1;N;2003;343
2;NE;2003;1235
3;SE;2003;2400
5;CO;2003;612
3;SE;2004;2361
2;NE;2004;1291
1;N;2004;352
5;CO;2004;583
4;S;2004;1724
2;NE;2005;1472
3;SE;2005;2521
4;S;2005;1796
5;CO;2005;586
1;N;2005;369
4;S;2006;1718
5;CO;2006;601
1;N;2006;374
2;NE;2006;1556
3;SE;2006;2585
5;CO;2007;589
4;S;2007;1741
3;SE;2007;2505
2;NE;2007;1721
1;N;2007;439
1;N;2008;514
2;NE;2008;1721
3;SE;2008;2663
4;S;2008;1785
5;CO;2008;692
2;NE;2009;1673
5;CO;2009;653
4;S;2009;1887
3;SE;2009;2804
1;N;2009;483
5;CO;2010;627
4;S;2010;1713
3;SE;2010;2895
2;NE;2010;1651
1;N;2010;489
5;CO;2011;643
4;S;2011;1702
3;SE;2011;3050
2;NE;2011;1834
1;N;2011;533
5;CO;2012;730
4;S;2012;1845
3;SE;2012;3064
2;NE;2012;1848
1;N;2012;574
5;CO;2013;746
4;S;2013;1868
3;SE;2013;3082
2;NE;2013;2000
1;N;2013;613
1;N;2014;562
3;SE;2014;3381
4;S;2014;1824
5;CO;2014;749
2;NE;2014;1903
4;S;2015;1968
5;CO;2015;734
3;SE;2015;3370
2;NE;2015;2004
1;N;2015;704
5;CO;2016;822
2;NE;2016;2177
1;N;2016;645
3;SE;2016;3334
4;S;2016;2075
3;SE;2017;3634
1;N;2017;692
5;CO;2017;861
4;S;2017;2249
2;NE;2017;2390
1;N;2018;765
5;CO;2018;895
4;S;2018;2293
3;SE;2018;3645
2;NE;2018;2401
2;NE;2019;2465
3;SE;2019;3813
4;S;2019;2513
5;CO;2019;981
1;N;2019;827
3;SE;2020;3874
4;S;2020;2494
5;CO;2020;1019
1;N;2020;882
2;NE;2020;2599
2;NE;2021;3032
5;CO;2021;1076
1;N;2021;941
4;S;2021;2752
3;SE;2021;4263
2;NE;2022;3042
4;S;2022;2963
5;CO;2022;1215
1;N;2022;1008
3;SE;2022;4680
