cod;nome;período;valor
35;SP;1989;903
33;RJ;1989;186
32;ES;1989;58
31;MG;1989;347
29;BA;1989;77
28;SE;1989;5
27;AL;1989;33
26;PE;1989;81
25;PB;1989;42
24;RN;1989;45
23;CE;1989;79
22;PI;1989;23
21;MA;1989;25
17;TO;1989;18
16;AP;1989;6
15;PA;1989;67
14;RR;1989;5
13;AM;1989;30
12;AC;1989;12
11;RO;1989;31
50;MS;1989;61
43;RS;1989;557
42;SC;1989;203
41;PR;1989;317
53;DF;1989;51
52;GO;1989;117
51;MT;1989;38
14;RR;1990;4
53;DF;1990;58
52;GO;1990;73
51;MT;1990;36
50;MS;1990;59
43;RS;1990;523
42;SC;1990;244
41;PR;1990;327
35;SP;1990;1020
33;RJ;1990;213
32;ES;1990;67
31;MG;1990;363
29;BA;1990;70
28;SE;1990;9
27;AL;1990;30
26;PE;1990;134
25;PB;1990;67
24;RN;1990;46
23;CE;1990;87
22;PI;1990;18
21;MA;1990;24
17;TO;1990;7
16;AP;1990;4
15;PA;1990;68
13;AM;1990;24
12;AC;1990;8
11;RO;1990;35
14;RR;1991;14
15;PA;1991;87
16;AP;1991;5
17;TO;1991;11
21;MA;1991;42
22;PI;1991;18
23;CE;1991;99
24;RN;1991;57
25;PB;1991;50
26;PE;1991;165
27;AL;1991;30
28;SE;1991;31
29;BA;1991;79
31;MG;1991;386
32;ES;1991;77
33;RJ;1991;146
35;SP;1991;1095
41;PR;1991;338
42;SC;1991;272
43;RS;1991;601
50;MS;1991;53
51;MT;1991;43
52;GO;1991;141
53;DF;1991;65
11;RO;1991;33
12;AC;1991;15
13;AM;1991;27
23;CE;1992;103
53;DF;1992;58
52;GO;1992;149
51;MT;1992;46
50;MS;1992;72
43;RS;1992;658
42;SC;1992;247
41;PR;1992;346
35;SP;1992;1120
33;RJ;1992;135
32;ES;1992;67
31;MG;1992;447
29;BA;1992;98
28;SE;1992;57
27;AL;1992;36
26;PE;1992;144
25;PB;1992;42
24;RN;1992;32
22;PI;1992;21
21;MA;1992;28
17;TO;1992;12
16;AP;1992;9
15;PA;1992;84
14;RR;1992;4
13;AM;1992;30
12;AC;1992;9
11;RO;1992;27
52;GO;1993;156
43;RS;1993;601
42;SC;1993;258
41;PR;1993;350
35;SP;1993;1245
33;RJ;1993;187
32;ES;1993;76
31;MG;1993;405
29;BA;1993;120
28;SE;1993;26
27;AL;1993;47
26;PE;1993;171
25;PB;1993;40
24;RN;1993;54
23;CE;1993;133
22;PI;1993;34
21;MA;1993;34
