cod;nome;período;valor
1076;BRA;1989;349
1076;BRA;1990;427
1076;BRA;1991;490
1076;BRA;1992;479
1076;BRA;1993;557
1076;BRA;1994;603
1076;BRA;1995;692
1076;BRA;1996;636
1076;BRA;1997;614
1076;BRA;1998;545
1076;BRA;1999;513
1076;BRA;2000;508
1076;BRA;2001;575
1076;BRA;2002;549
1076;BRA;2003;516
1076;BRA;2004;471
1076;BRA;2005;428
1076;BRA;2006;406
1076;BRA;2007;364
1076;BRA;2008;375
1076;BRA;2009;310
1076;BRA;2010;299
1076;BRA;2011;252
1076;BRA;2012;284
1076;BRA;2013;252
1076;BRA;2014;264
1076;BRA;2015;218
1076;BRA;2016;222
1076;BRA;2017;209
1076;BRA;2018;223
1076;BRA;2019;232
1076;BRA;2020;219
1076;BRA;2021;230
1076;BRA;2022;248
