cod;nome;período;valor
4;S;1989;98
5;CO;1989;47
1;N;1989;34
2;NE;1989;53
3;SE;1989;117
5;CO;1990;49
1;N;1990;27
2;NE;1990;76
3;SE;1990;162
4;S;1990;113
4;S;1991;125
1;N;1991;43
2;NE;1991;66
3;SE;1991;184
5;CO;1991;72
4;S;1992;126
1;N;1992;31
2;NE;1992;81
3;SE;1992;177
5;CO;1992;64
2;NE;1993;89
5;CO;1993;95
4;S;1993;141
3;SE;1993;198
1;N;1993;34
5;CO;1994;82
2;NE;1994;94
3;SE;1994;211
4;S;1994;184
1;N;1994;32
4;S;1995;211
5;CO;1995;116
3;SE;1995;223
2;NE;1995;106
1;N;1995;36
1;N;1996;24
5;CO;1996;90
4;S;1996;214
3;SE;1996;223
2;NE;1996;85
1;N;1997;36
5;CO;1997;86
4;S;1997;181
3;SE;1997;214
2;NE;1997;97
2;NE;1998;80
5;CO;1998;55
4;S;1998;195
3;SE;1998;177
1;N;1998;38
2;NE;1999;88
5;CO;1999;59
4;S;1999;202
3;SE;1999;140
1;N;1999;24
5;CO;2000;89
2;NE;2000;61
1;N;2000;27
3;SE;2000;150
4;S;2000;181
5;CO;2001;70
4;S;2001;174
3;SE;2001;196
2;NE;2001;98
1;N;2001;37
4;S;2002;159
3;SE;2002;179
1;N;2002;34
2;NE;2002;116
5;CO;2002;61
2;NE;2003;82
5;CO;2003;73
4;S;2003;151
3;SE;2003;181
1;N;2003;29
5;CO;2004;55
4;S;2004;151
3;SE;2004;156
2;NE;2004;69
1;N;2004;40
5;CO;2005;50
1;N;2005;24
2;NE;2005;70
3;SE;2005;143
4;S;2005;141
4;S;2006;108
5;CO;2006;35
3;SE;2006;141
2;NE;2006;99
1;N;2006;23
4;S;2007;103
1;N;2007;41
5;CO;2007;36
2;NE;2007;84
3;SE;2007;100
3;SE;2008;115
1;N;2008;49
2;NE;2008;85
4;S;2008;95
5;CO;2008;31
5;CO;2009;29
3;SE;2009;101
2;NE;2009;62
1;N;2009;27
4;S;2009;91
4;S;2010;72
1;N;2010;24
2;NE;2010;75
3;SE;2010;106
5;CO;2010;22
2;NE;2011;54
1;N;2011;21
3;SE;2011;96
4;S;2011;60
5;CO;2011;21
5;CO;2012;31
1;N;2012;45
2;NE;2012;64
3;SE;2012;87
4;S;2012;57
3;SE;2013;70
1;N;2013;32
5;CO;2013;32
2;NE;2013;56
4;S;2013;62
5;CO;2014;25
4;S;2014;65
3;SE;2014;97
2;NE;2014;53
1;N;2014;24
5;CO;2015;21
1;N;2015;19
2;NE;2015;51
3;SE;2015;71
4;S;2015;56
4;S;2016;46
1;N;2016;25
2;NE;2016;50
3;SE;2016;75
5;CO;2016;26
4;S;2017;54
1;N;2017;17
2;NE;2017;57
3;SE;2017;57
5;CO;2017;24
5;CO;2018;31
1;N;2018;23
2;NE;2018;51
3;SE;2018;66
4;S;2018;52
5;CO;2019;30
1;N;2019;27
2;NE;2019;54
3;SE;2019;66
4;S;2019;55
1;N;2020;15
4;S;2020;66
3;SE;2020;60
2;NE;2020;50
5;CO;2020;28
5;CO;2021;32
4;S;2021;58
3;SE;2021;59
2;NE;2021;55
1;N;2021;26
5;CO;2022;36
1;N;2022;28
2;NE;2022;47
3;SE;2022;75
4;S;2022;62
