cod;nome;período;valor
29;BA;1989;16
16;AP;1989;0
17;TO;1989;1
21;MA;1989;1
22;PI;1989;4
23;CE;1989;10
24;RN;1989;7
25;PB;1989;2
26;PE;1989;7
27;AL;1989;6
28;SE;1989;0
42;SC;1989;14
43;RS;1989;45
50;MS;1989;13
51;MT;1989;5
52;GO;1989;17
53;DF;1989;12
41;PR;1989;39
35;SP;1989;65
33;RJ;1989;14
32;ES;1989;6
31;MG;1989;32
11;RO;1989;5
12;AC;1989;6
13;AM;1989;6
14;RR;1989;0
15;PA;1989;16
16;AP;1990;0
17;TO;1990;1
21;MA;1990;3
22;PI;1990;4
24;RN;1990;4
23;CE;1990;17
11;RO;1990;7
12;AC;1990;2
13;AM;1990;2
14;RR;1990;1
15;PA;1990;14
53;DF;1990;13
52;GO;1990;12
51;MT;1990;5
50;MS;1990;19
43;RS;1990;51
42;SC;1990;29
41;PR;1990;33
35;SP;1990;88
33;RJ;1990;22
32;ES;1990;8
31;MG;1990;44
29;BA;1990;15
28;SE;1990;1
27;AL;1990;5
26;PE;1990;21
25;PB;1990;6
24;RN;1991;2
11;RO;1991;7
12;AC;1991;7
13;AM;1991;5
14;RR;1991;1
15;PA;1991;20
16;AP;1991;1
17;TO;1991;2
21;MA;1991;3
22;PI;1991;4
23;CE;1991;15
53;DF;1991;25
52;GO;1991;29
51;MT;1991;8
50;MS;1991;10
43;RS;1991;60
42;SC;1991;19
41;PR;1991;46
35;SP;1991;100
33;RJ;1991;12
32;ES;1991;15
31;MG;1991;57
29;BA;1991;11
28;SE;1991;5
27;AL;1991;5
26;PE;1991;17
25;PB;1991;4
17;TO;1992;2
32;ES;1992;8
31;MG;1992;59
29;BA;1992;16
28;SE;1992;9
27;AL;1992;12
26;PE;1992;17
25;PB;1992;3
24;RN;1992;6
23;CE;1992;12
22;PI;1992;3
21;MA;1992;3
33;RJ;1992;9
16;AP;1992;1
15;PA;1992;10
14;RR;1992;1
13;AM;1992;11
12;AC;1992;2
11;RO;1992;4
53;DF;1992;18
52;GO;1992;32
51;MT;1992;5
50;MS;1992;9
43;RS;1992;61
42;SC;1992;14
41;PR;1992;51
35;SP;1992;101
22;PI;1993;4
23;CE;1993;21
24;RN;1993;8
25;PB;1993;2
26;PE;1993;24
27;AL;1993;8
28;SE;1993;2
29;BA;1993;18
31;MG;1993;62
32;ES;1993;9
33;RJ;1993;14
13;AM;1993;8
14;RR;1993;1
15;PA;1993;12
16;AP;1993;2
17;TO;1993;2
21;MA;1993;2
12;AC;1993;5
11;RO;1993;4
35;SP;1993;113
41;PR;1993;53
42;SC;1993;20
43;RS;1993;68
50;MS;1993;23
51;MT;1993;10
52;GO;1993;38
53;DF;1993;24
53;DF;1994;25
22;PI;1994;3
21;MA;1994;1
17;TO;1994;3
16;AP;1994;0
15;PA;1994;9
14;RR;1994;0
13;AM;1994;13
12;AC;1994;3
11;RO;1994;4
23;CE;1994;17
52;GO;1994;25
51;MT;1994;8
50;MS;1994;24
43;RS;1994;96
42;SC;1994;31
41;PR;1994;57
35;SP;1994;123
33;RJ;1994;20
32;ES;1994;9
31;MG;1994;59
29;BA;1994;14
28;SE;1994;4
27;AL;1994;12
26;PE;1994;32
25;PB;1994;6
24;RN;1994;5
31;MG;1995;62
32;ES;1995;11
33;RJ;1995;25
35;SP;1995;125
41;PR;1995;66
42;SC;1995;38
43;RS;1995;107
50;MS;1995;27
51;MT;1995;11
52;GO;1995;47
53;DF;1995;31
11;RO;1995;2
12;AC;1995;2
13;AM;1995;12
14;RR;1995;3
15;PA;1995;12
16;AP;1995;1
17;TO;1995;4
21;MA;1995;4
22;PI;1995;5
23;CE;1995;17
24;RN;1995;7
25;PB;1995;7
26;PE;1995;48
27;AL;1995;6
28;SE;1995;3
29;BA;1995;9
31;MG;1996;70
32;ES;1996;11
33;RJ;1996;16
35;SP;1996;126
41;PR;1996;79
42;SC;1996;27
43;RS;1996;108
50;MS;1996;18
51;MT;1996;19
53;DF;1996;22
52;GO;1996;31
11;RO;1996;1
12;AC;1996;1
13;AM;1996;8
14;RR;1996;2
15;PA;1996;10
16;AP;1996;1
17;TO;1996;1
21;MA;1996;2
22;PI;1996;6
23;CE;1996;21
24;RN;1996;2
25;PB;1996;0
26;PE;1996;39
27;AL;1996;6
28;SE;1996;1
29;BA;1996;8
24;RN;1997;6
11;RO;1997;4
12;AC;1997;2
13;AM;1997;9
14;RR;1997;2
15;PA;1997;17
16;AP;1997;0
17;TO;1997;2
21;MA;1997;3
22;PI;1997;6
23;CE;1997;15
25;PB;1997;2
26;PE;1997;45
27;AL;1997;4
28;SE;1997;0
29;BA;1997;16
31;MG;1997;66
32;ES;1997;11
