cod;nome;período;valor
1076;BRA;1989;1559
1076;BRA;1990;1664
1076;BRA;1991;1730
1076;BRA;1992;1779
1076;BRA;1993;2025
1076;BRA;1994;2153
1076;BRA;1995;2298
1076;BRA;1996;2334
1076;BRA;1997;2225
1076;BRA;1998;2285
1076;BRA;1999;2132
1076;BRA;2000;2142
1076;BRA;2001;2539
1076;BRA;2002;2515
1076;BRA;2003;2613
1076;BRA;2004;2586
1076;BRA;2005;2597
1076;BRA;2006;2668
1076;BRA;2007;2737
1076;BRA;2008;2865
1076;BRA;2009;2775
1076;BRA;2010;2815
1076;BRA;2011;2954
1076;BRA;2012;2900
1076;BRA;2013;2872
1076;BRA;2014;2898
1076;BRA;2015;2936
1076;BRA;2016;2954
1076;BRA;2017;3263
1076;BRA;2018;3396
1076;BRA;2019;3862
1076;BRA;2020;3771
1076;BRA;2021;4234
1076;BRA;2022;4457
