cod;nome;período;valor
5;CO;1989;143
3;SE;1989;685
4;S;1989;414
2;NE;1989;211
1;N;1989;106
3;SE;1990;785
5;CO;1990;129
1;N;1990;89
2;NE;1990;225
4;S;1990;436
5;CO;1991;160
4;S;1991;439
3;SE;1991;746
2;NE;1991;264
1;N;1991;121
4;S;1992;459
2;NE;1992;241
1;N;1992;120
5;CO;1992;178
3;SE;1992;781
1;N;1993;122
5;CO;1993;230
2;NE;1993;301
4;S;1993;444
3;SE;1993;928
2;NE;1994;330
3;SE;1994;932
4;S;1994;542
1;N;1994;130
5;CO;1994;219
4;S;1995;564
2;NE;1995;373
1;N;1995;133
5;CO;1995;272
3;SE;1995;956
4;S;1996;588
2;NE;1996;353
1;N;1996;171
5;CO;1996;239
3;SE;1996;983
4;S;1997;527
2;NE;1997;363
1;N;1997;151
5;CO;1997;221
3;SE;1997;963
3;SE;1998;940
2;NE;1998;364
1;N;1998;204
5;CO;1998;194
4;S;1998;583
3;SE;1999;807
2;NE;1999;394
1;N;1999;146
5;CO;1999;218
4;S;1999;567
3;SE;2000;1254
2;NE;2000;873
1;N;2000;474
5;CO;2000;440
4;S;2000;730
4;S;2001;13
2;NE;2001;27
1;N;2001;43
5;CO;2001;156
3;SE;2001;169
5;CO;2002;164
2;NE;2002;38
1;N;2002;28
3;SE;2002;107
4;S;2002;81
1;N;2003;46
3;SE;2003;142
4;S;2003;51
2;NE;2003;53
5;CO;2003;35
3;SE;2004;54
4;S;2004;184
5;CO;2004;623
1;N;2004;194
2;NE;2004;393
2;NE;2005;176
4;S;2005;91
5;CO;2005;89
1;N;2005;264
3;SE;2005;290
2;NE;2006;58
4;S;2006;538
5;CO;2006;261
1;N;2006;202
3;SE;2006;985
2;NE;2007;756
3;SE;2007;923
5;CO;2007;269
1;N;2007;256
4;S;2007;533
1;N;2008;309
2;NE;2008;717
3;SE;2008;942
4;S;2008;594
5;CO;2008;303
4;S;2009;538
5;CO;2009;279
1;N;2009;283
2;NE;2009;682
3;SE;2009;993
3;SE;2010;1045
5;CO;2010;267
1;N;2010;277
2;NE;2010;722
4;S;2010;504
4;S;2011;488
3;SE;2011;1126
1;N;2011;301
2;NE;2011;777
5;CO;2011;262
2;NE;2012;707
4;S;2012;509
5;CO;2012;300
1;N;2012;320
3;SE;2012;1064
1;N;2013;347
5;CO;2013;307
4;S;2013;492
3;SE;2013;1007
2;NE;2013;719
1;N;2014;335
2;NE;2014;692
3;SE;2014;1010
4;S;2014;555
5;CO;2014;306
5;CO;2015;294
1;N;2015;383
2;NE;2015;709
3;SE;2015;1067
4;S;2015;483
1;N;2016;345
2;NE;2016;762
3;SE;2016;1021
4;S;2016;491
5;CO;2016;335
1;N;2017;375
2;NE;2017;815
3;SE;2017;1111
4;S;2017;609
5;CO;2017;353
3;SE;2018;1137
1;N;2018;466
2;NE;2018;802
4;S;2018;602
5;CO;2018;389
1;N;2019;470
2;NE;2019;888
3;SE;2019;1349
4;S;2019;738
5;CO;2019;417
3;SE;2020;1254
4;S;2020;730
2;NE;2020;873
1;N;2020;474
5;CO;2020;440
3;SE;2021;1433
4;S;2021;769
2;NE;2021;1029
1;N;2021;542
5;CO;2021;461
3;SE;2022;1534
5;CO;2022;521
1;N;2022;565
2;NE;2022;1036
4;S;2022;801
