cod;nome;período;valor
33;RJ;1989;70
17;TO;1989;5
28;SE;1989;2
42;SC;1989;70
43;RS;1989;189
14;RR;1989;1
11;RO;1989;23
24;RN;1989;22
41;PR;1989;155
22;PI;1989;16
26;PE;1989;29
25;PB;1989;20
15;PA;1989;41
51;MT;1989;21
50;MS;1989;30
31;MG;1989;169
21;MA;1989;9
52;GO;1989;60
32;ES;1989;25
53;DF;1989;32
23;CE;1989;35
29;BA;1989;55
16;AP;1989;4
13;AM;1989;20
27;AL;1989;23
12;AC;1989;12
35;SP;1989;421
21;MA;1990;10
52;GO;1990;34
12;AC;1990;3
27;AL;1990;10
13;AM;1990;10
16;AP;1990;1
32;ES;1990;29
53;DF;1990;44
23;CE;1990;45
17;TO;1990;5
35;SP;1990;501
28;SE;1990;5
29;BA;1990;31
42;SC;1990;99
43;RS;1990;182
14;RR;1990;2
11;RO;1990;26
24;RN;1990;24
33;RJ;1990;75
41;PR;1990;155
22;PI;1990;7
26;PE;1990;70
25;PB;1990;23
15;PA;1990;42
51;MT;1990;18
50;MS;1990;33
31;MG;1990;180
51;MT;1991;17
12;AC;1991;9
27;AL;1991;18
13;AM;1991;21
16;AP;1991;6
29;BA;1991;37
23;CE;1991;50
53;DF;1991;40
32;ES;1991;39
52;GO;1991;81
21;MA;1991;18
31;MG;1991;186
50;MS;1991;22
15;PA;1991;51
25;PB;1991;22
26;PE;1991;73
22;PI;1991;7
41;PR;1991;162
33;RJ;1991;47
24;RN;1991;22
11;RO;1991;24
14;RR;1991;7
43;RS;1991;194
42;SC;1991;83
28;SE;1991;17
35;SP;1991;474
17;TO;1991;3
51;MT;1992;17
25;PB;1992;20
15;PA;1992;56
17;TO;1992;5
35;SP;1992;512
50;MS;1992;37
28;SE;1992;30
42;SC;1992;81
43;RS;1992;204
14;RR;1992;4
31;MG;1992;195
21;MA;1992;13
52;GO;1992;86
32;ES;1992;26
53;DF;1992;38
12;AC;1992;4
27;AL;1992;27
13;AM;1992;26
16;AP;1992;7
29;BA;1992;35
23;CE;1992;42
11;RO;1992;18
24;RN;1992;13
33;RJ;1992;48
41;PR;1992;174
22;PI;1992;10
26;PE;1992;51
23;CE;1993;71
14;RR;1993;7
11;RO;1993;19
24;RN;1993;22
