cod;nome;período;valor
1076;BRA;1989;125
1076;BRA;1990;173
1076;BRA;1991;180
1076;BRA;1992;196
1076;BRA;1993;200
1076;BRA;1994;235
1076;BRA;1995;210
1076;BRA;1996;225
1076;BRA;1997;239
1076;BRA;1998;185
1076;BRA;1999;155
1076;BRA;2000;174
1076;BRA;2001;175
1076;BRA;2002;170
1076;BRA;2003;144
1076;BRA;2004;150
1076;BRA;2005;126
1076;BRA;2006;135
1076;BRA;2007;136
1076;BRA;2008;116
1076;BRA;2009;111
1076;BRA;2010;101
1076;BRA;2011;84
1076;BRA;2012;109
1076;BRA;2013;107
1076;BRA;2014;99
1076;BRA;2015;87
1076;BRA;2016;85
1076;BRA;2017;111
1076;BRA;2018;97
1076;BRA;2019;89
1076;BRA;2020;105
1076;BRA;2021;97
1076;BRA;2022;100
