cod;nome;período;valor
5;CO;1989;15
2;NE;1989;11
1;N;1989;8
3;SE;1989;44
4;S;1989;47
4;S;1990;58
1;N;1990;9
2;NE;1990;21
3;SE;1990;70
5;CO;1990;15
2;NE;1991;21
1;N;1991;10
3;SE;1991;60
4;S;1991;70
5;CO;1991;19
5;CO;1992;19
1;N;1992;13
2;NE;1992;33
3;SE;1992;73
4;S;1992;58
4;S;1993;51
1;N;1993;13
2;NE;1993;28
5;CO;1993;32
3;SE;1993;76
1;N;1994;8
3;SE;1994;88
4;S;1994;75
5;CO;1994;32
2;NE;1994;32
5;CO;1995;36
1;N;1995;10
2;NE;1995;32
3;SE;1995;69
4;S;1995;63
3;SE;1996;64
1;N;1996;7
2;NE;1996;33
5;CO;1996;28
4;S;1996;93
3;SE;1997;82
4;S;1997;86
5;CO;1997;31
1;N;1997;12
2;NE;1997;28
4;S;1998;94
3;SE;1998;45
2;NE;1998;22
1;N;1998;7
5;CO;1998;17
4;S;1999;68
5;CO;1999;18
1;N;1999;7
2;NE;1999;27
3;SE;1999;35
1;N;2000;5
3;SE;2000;53
5;CO;2000;29
4;S;2000;65
2;NE;2000;22
5;CO;2001;21
1;N;2001;6
4;S;2001;69
3;SE;2001;57
2;NE;2001;22
4;S;2002;67
3;SE;2002;50
2;NE;2002;26
1;N;2002;8
5;CO;2002;19
5;CO;2003;19
3;SE;2003;49
2;NE;2003;10
1;N;2003;7
4;S;2003;59
2;NE;2004;19
3;SE;2004;48
4;S;2004;54
5;CO;2004;17
1;N;2004;12
4;S;2005;49
5;CO;2005;24
2;NE;2005;15
1;N;2005;4
3;SE;2005;34
2;NE;2006;19
3;SE;2006;43
4;S;2006;56
5;CO;2006;14
1;N;2006;3
1;N;2007;12
5;CO;2007;17
4;S;2007;48
3;SE;2007;45
2;NE;2007;14
3;SE;2008;44
1;N;2008;6
2;NE;2008;16
4;S;2008;40
5;CO;2008;10
5;CO;2009;10
4;S;2009;46
3;SE;2009;36
2;NE;2009;12
1;N;2009;7
1;N;2010;7
5;CO;2010;10
4;S;2010;38
3;SE;2010;29
2;NE;2010;17
5;CO;2011;7
1;N;2011;5
2;NE;2011;9
3;SE;2011;38
4;S;2011;25
5;CO;2012;11
4;S;2012;39
3;SE;2012;40
2;NE;2012;13
1;N;2012;6
3;SE;2013;38
5;CO;2013;14
4;S;2013;43
2;NE;2013;8
1;N;2013;4
1;N;2014;8
2;NE;2014;12
3;SE;2014;34
4;S;2014;40
5;CO;2014;5
4;S;2015;23
2;NE;2015;8
1;N;2015;8
5;CO;2015;7
3;SE;2015;41
5;CO;2016;12
3;SE;2016;26
4;S;2016;26
2;NE;2016;16
1;N;2016;5
5;CO;2017;12
2;NE;2017;14
3;SE;2017;40
4;S;2017;43
1;N;2017;2
5;CO;2018;14
3;SE;2018;31
4;S;2018;32
1;N;2018;7
2;NE;2018;13
5;CO;2019;21
1;N;2019;4
2;NE;2019;13
3;SE;2019;27
4;S;2019;24
4;S;2020;36
1;N;2020;5
2;NE;2020;8
3;SE;2020;39
5;CO;2020;17
4;S;2021;32
1;N;2021;3
2;NE;2021;15
3;SE;2021;39
5;CO;2021;8
2;NE;2022;14
3;SE;2022;30
4;S;2022;32
5;CO;2022;18
1;N;2022;6
