cod;nome;período;valor
51;MT;1989;1
50;MS;1989;3
43;RS;1989;18
42;SC;1989;10
41;PR;1989;19
35;SP;1989;31
33;RJ;1989;5
32;ES;1989;0
31;MG;1989;8
29;BA;1989;5
28;SE;1989;0
27;AL;1989;0
26;PE;1989;1
25;PB;1989;1
24;RN;1989;1
23;CE;1989;2
22;PI;1989;1
21;MA;1989;0
17;TO;1989;0
16;AP;1989;0
53;DF;1989;2
52;GO;1989;9
14;RR;1989;0
15;PA;1989;5
13;AM;1989;1
12;AC;1989;2
11;RO;1989;0
42;SC;1990;10
21;MA;1990;2
22;PI;1990;2
23;CE;1990;6
24;RN;1990;2
25;PB;1990;1
26;PE;1990;3
27;AL;1990;1
28;SE;1990;0
29;BA;1990;4
31;MG;1990;19
32;ES;1990;4
33;RJ;1990;9
11;RO;1990;2
12;AC;1990;0
13;AM;1990;1
14;RR;1990;0
15;PA;1990;5
16;AP;1990;0
17;TO;1990;1
35;SP;1990;38
53;DF;1990;2
52;GO;1990;3
51;MT;1990;3
50;MS;1990;7
43;RS;1990;30
41;PR;1990;18
26;PE;1991;8
16;AP;1991;0
17;TO;1991;1
21;MA;1991;2
22;PI;1991;1
23;CE;1991;5
24;RN;1991;1
25;PB;1991;2
15;PA;1991;7
27;AL;1991;0
28;SE;1991;1
29;BA;1991;1
31;MG;1991;16
32;ES;1991;5
33;RJ;1991;6
35;SP;1991;33
41;PR;1991;26
42;SC;1991;9
43;RS;1991;35
50;MS;1991;7
51;MT;1991;1
52;GO;1991;5
53;DF;1991;6
11;RO;1991;2
12;AC;1991;0
13;AM;1991;0
14;RR;1991;0
22;PI;1992;0
53;DF;1992;4
52;GO;1992;10
51;MT;1992;1
50;MS;1992;4
43;RS;1992;34
42;SC;1992;6
41;PR;1992;18
35;SP;1992;45
33;RJ;1992;7
32;ES;1992;3
31;MG;1992;18
29;BA;1992;2
28;SE;1992;3
27;AL;1992;5
26;PE;1992;10
25;PB;1992;1
24;RN;1992;4
23;CE;1992;7
21;MA;1992;1
17;TO;1992;1
16;AP;1992;0
15;PA;1992;4
14;RR;1992;1
13;AM;1992;3
12;AC;1992;0
11;RO;1992;4
51;MT;1993;5
13;AM;1993;6
22;PI;1993;0
23;CE;1993;6
24;RN;1993;3
25;PB;1993;0
26;PE;1993;9
27;AL;1993;4
28;SE;1993;0
29;BA;1993;6
31;MG;1993;18
32;ES;1993;1
33;RJ;1993;14
12;AC;1993;0
11;RO;1993;0
52;GO;1993;14
53;DF;1993;5
17;TO;1993;1
21;MA;1993;0
14;RR;1993;1
15;PA;1993;5
16;AP;1993;0
35;SP;1993;43
41;PR;1993;21
42;SC;1993;3
43;RS;1993;27
50;MS;1993;8
50;MS;1994;9
11;RO;1994;1
12;AC;1994;0
13;AM;1994;3
14;RR;1994;0
15;PA;1994;2
16;AP;1994;0
17;TO;1994;2
21;MA;1994;0
22;PI;1994;2
23;CE;1994;8
24;RN;1994;4
25;PB;1994;3
26;PE;1994;7
27;AL;1994;4
28;SE;1994;0
29;BA;1994;4
31;MG;1994;18
32;ES;1994;3
33;RJ;1994;13
35;SP;1994;54
41;PR;1994;23
42;SC;1994;7
43;RS;1994;45
51;MT;1994;2
52;GO;1994;13
53;DF;1994;8
25;PB;1995;0
24;RN;1995;3
23;CE;1995;3
22;PI;1995;1
21;MA;1995;1
17;TO;1995;0
16;AP;1995;0
15;PA;1995;7
14;RR;1995;0
13;AM;1995;1
12;AC;1995;1
11;RO;1995;1
53;DF;1995;7
52;GO;1995;12
51;MT;1995;7
50;MS;1995;10
43;RS;1995;44
42;SC;1995;6
41;PR;1995;13
35;SP;1995;31
33;RJ;1995;11
32;ES;1995;6
31;MG;1995;21
29;BA;1995;4
28;SE;1995;1
27;AL;1995;2
26;PE;1995;17
32;ES;1996;4
27;AL;1996;0
26;PE;1996;19
25;PB;1996;0
24;RN;1996;3
12;AC;1996;0
13;AM;1996;2
14;RR;1996;0
15;PA;1996;2
33;RJ;1996;7
35;SP;1996;40
41;PR;1996;29
42;SC;1996;10
43;RS;1996;54
50;MS;1996;8
51;MT;1996;5
52;GO;1996;9
53;DF;1996;6
28;SE;1996;0
11;RO;1996;1
16;AP;1996;1
17;TO;1996;1
21;MA;1996;2
22;PI;1996;1
23;CE;1996;5
29;BA;1996;3
31;MG;1996;13
33;RJ;1997;12
53;DF;1997;8
52;GO;1997;14
51;MT;1997;3
50;MS;1997;6
43;RS;1997;54
42;SC;1997;6
41;PR;1997;26
35;SP;1997;46
32;ES;1997;6
