cod;nome;período;valor
1076;BRA;1989;1073
1076;BRA;1990;1225
1076;BRA;1991;1202
1076;BRA;1992;1180
1076;BRA;1993;1193
1076;BRA;1994;1299
1076;BRA;1995;1410
1076;BRA;1996;1407
1076;BRA;1997;1423
1076;BRA;1998;1457
1076;BRA;1999;1230
1076;BRA;2000;1382
1076;BRA;2001;1560
1076;BRA;2002;1694
1076;BRA;2003;1604
1076;BRA;2004;1706
1076;BRA;2005;1805
1076;BRA;2006;1805
1076;BRA;2007;1872
1076;BRA;2008;1953
1076;BRA;2009;1872
1076;BRA;2010;2073
1076;BRA;2011;2089
1076;BRA;2012;2257
1076;BRA;2013;2223
1076;BRA;2014;2233
1076;BRA;2015;2396
1076;BRA;2016;2378
1076;BRA;2017;2664
1076;BRA;2018;2729
1076;BRA;2019;2919
1076;BRA;2020;2964
1076;BRA;2021;6862
1076;BRA;2022;3553
