cod;nome;período;valor
3;SE;1989;476
5;CO;1989;82
1;N;1989;51
2;NE;1989;130
4;S;1989;334
5;CO;1990;78
3;SE;1990;545
4;S;1990;394
2;NE;1990;162
1;N;1990;46
3;SE;1991;478
5;CO;1991;92
1;N;1991;54
2;NE;1991;192
4;S;1991;386
5;CO;1992;99
3;SE;1992;489
2;NE;1992;160
4;S;1992;360
1;N;1992;72
3;SE;1993;542
1;N;1993;57
2;NE;1993;186
4;S;1993;301
5;CO;1993;107
2;NE;1994;210
3;SE;1994;549
4;S;1994;350
1;N;1994;56
5;CO;1994;134
5;CO;1995;147
3;SE;1995;616
4;S;1995;371
2;NE;1995;221
1;N;1995;55
5;CO;1996;123
3;SE;1996;584
4;S;1996;402
2;NE;1996;206
1;N;1996;92
1;N;1997;78
3;SE;1997;595
4;S;1997;377
2;NE;1997;237
5;CO;1997;136
3;SE;1998;564
1;N;1998;107
2;NE;1998;239
5;CO;1998;121
4;S;1998;426
3;SE;1999;440
2;NE;1999;225
1;N;1999;61
5;CO;1999;139
4;S;1999;365
1;N;2000;84
5;CO;2000;157
2;NE;2000;261
3;SE;2000;499
4;S;2000;381
1;N;2001;106
5;CO;2001;156
4;S;2001;377
3;SE;2001;619
2;NE;2001;302
3;SE;2002;635
5;CO;2002;184
4;S;2002;394
2;NE;2002;373
1;N;2002;108
2;NE;2003;385
5;CO;2003;151
4;S;2003;367
3;SE;2003;607
1;N;2003;94
4;S;2004;427
1;N;2004;95
2;NE;2004;360
5;CO;2004;201
3;SE;2004;623
3;SE;2005;690
2;NE;2005;423
1;N;2005;107
5;CO;2005;185
4;S;2005;400
4;S;2006;413
3;SE;2006;720
2;NE;2006;405
1;N;2006;104
5;CO;2006;163
5;CO;2007;157
3;SE;2007;721
4;S;2007;444
2;NE;2007;447
1;N;2007;103
4;S;2008;460
1;N;2008;106
2;NE;2008;481
3;SE;2008;741
5;CO;2008;165
5;CO;2009;178
4;S;2009;392
3;SE;2009;764
2;NE;2009;428
1;N;2009;110
1;N;2010;135
2;NE;2010;472
3;SE;2010;840
4;S;2010;441
5;CO;2010;185
2;NE;2011;463
5;CO;2011;164
4;S;2011;454
3;SE;2011;849
1;N;2011;159
5;CO;2012;202
4;S;2012;512
3;SE;2012;936
2;NE;2012;487
1;N;2012;120
5;CO;2013;210
4;S;2013;497
3;SE;2013;876
2;NE;2013;494
1;N;2013;146
5;CO;2014;201
4;S;2014;495
3;SE;2014;902
2;NE;2014;490
1;N;2014;145
5;CO;2015;206
4;S;2015;526
3;SE;2015;953
2;NE;2015;536
1;N;2015;175
1;N;2016;181
3;SE;2016;914
4;S;2016;527
5;CO;2016;212
2;NE;2016;544
5;CO;2017;259
4;S;2017;612
3;SE;2017;1001
2;NE;2017;590
1;N;2017;202
1;N;2018;226
5;CO;2018;285
2;NE;2018;594
3;SE;2018;1026
4;S;2018;598
3;SE;2019;1117
5;CO;2019;302
1;N;2019;231
2;NE;2019;616
4;S;2019;653
1;N;2020;237
5;CO;2020;279
2;NE;2020;640
4;S;2020;637
3;SE;2020;1171
3;SE;2021;1342
5;CO;2021;336
1;N;2021;268
2;NE;2021;759
4;S;2021;726
2;NE;2022;795
5;CO;2022;378
3;SE;2022;1342
1;N;2022;304
4;S;2022;734
