cod;nome;período;valor
27;AL;1989;8
17;TO;1989;2
35;SP;1989;289
28;SE;1989;2
42;SC;1989;61
43;RS;1989;158
14;RR;1989;0
11;RO;1989;16
24;RN;1989;14
33;RJ;1989;68
41;PR;1989;115
22;PI;1989;10
26;PE;1989;16
25;PB;1989;18
15;PA;1989;22
51;MT;1989;13
50;MS;1989;18
31;MG;1989;102
21;MA;1989;7
52;GO;1989;37
32;ES;1989;17
53;DF;1989;14
23;CE;1989;21
29;BA;1989;34
16;AP;1989;1
13;AM;1989;5
12;AC;1989;5
12;AC;1990;5
28;SE;1990;2
42;SC;1990;83
43;RS;1990;180
14;RR;1990;0
11;RO;1990;15
24;RN;1990;19
33;RJ;1990;84
41;PR;1990;131
22;PI;1990;10
26;PE;1990;55
25;PB;1990;18
15;PA;1990;20
51;MT;1990;10
50;MS;1990;22
31;MG;1990;118
21;MA;1990;6
52;GO;1990;31
32;ES;1990;18
53;DF;1990;15
23;CE;1990;24
29;BA;1990;23
16;AP;1990;0
13;AM;1990;4
27;AL;1990;5
35;SP;1990;325
17;TO;1990;2
32;ES;1991;24
17;TO;1991;2
35;SP;1991;288
28;SE;1991;11
42;SC;1991;64
43;RS;1991;192
14;RR;1991;4
11;RO;1991;13
24;RN;1991;17
33;RJ;1991;58
41;PR;1991;130
22;PI;1991;4
26;PE;1991;68
25;PB;1991;20
15;PA;1991;24
51;MT;1991;9
50;MS;1991;14
31;MG;1991;108
21;MA;1991;10
52;GO;1991;42
12;AC;1991;0
27;AL;1991;12
13;AM;1991;6
16;AP;1991;5
29;BA;1991;17
23;CE;1991;33
53;DF;1991;27
14;RR;1992;4
11;RO;1992;21
24;RN;1992;15
33;RJ;1992;47
41;PR;1992;136
22;PI;1992;9
26;PE;1992;47
25;PB;1992;8
15;PA;1992;31
51;MT;1992;13
50;MS;1992;21
31;MG;1992;101
21;MA;1992;6
52;GO;1992;45
32;ES;1992;14
53;DF;1992;20
23;CE;1992;25
29;BA;1992;16
16;AP;1992;1
13;AM;1992;10
28;SE;1992;18
27;AL;1992;16
12;AC;1992;0
42;SC;1992;62
43;RS;1992;162
17;TO;1992;5
35;SP;1992;327
29;BA;1993;20
53;DF;1993;21
32;ES;1993;22
17;TO;1993;2
35;SP;1993;336
28;SE;1993;8
42;SC;1993;50
43;RS;1993;146
14;RR;1993;3
11;RO;1993;12
24;RN;1993;11
33;RJ;1993;68
41;PR;1993;105
22;PI;1993;14
26;PE;1993;67
25;PB;1993;8
15;PA;1993;22
51;MT;1993;13
50;MS;1993;26
31;MG;1993;116
21;MA;1993;9
52;GO;1993;47
23;CE;1993;37
16;AP;1993;2
13;AM;1993;13
27;AL;1993;12
12;AC;1993;3
24;RN;1994;20
12;AC;1994;1
27;AL;1994;22
13;AM;1994;12
16;AP;1994;3
29;BA;1994;32
23;CE;1994;40
53;DF;1994;31
32;ES;1994;23
52;GO;1994;50
21;MA;1994;7
31;MG;1994;130
50;MS;1994;39
51;MT;1994;14
15;PA;1994;22
25;PB;1994;18
26;PE;1994;57
22;PI;1994;10
41;PR;1994;124
33;RJ;1994;69
11;RO;1994;12
14;RR;1994;2
43;RS;1994;165
42;SC;1994;61
28;SE;1994;4
35;SP;1994;327
17;TO;1994;4
32;ES;1995;25
52;GO;1995;65
21;MA;1995;12
31;MG;1995;146
50;MS;1995;35
51;MT;1995;26
15;PA;1995;20
25;PB;1995;19
26;PE;1995;84
22;PI;1995;11
41;PR;1995;102
33;RJ;1995;103
12;AC;1995;1
27;AL;1995;13
13;AM;1995;13
16;AP;1995;2
29;BA;1995;37
23;CE;1995;25
53;DF;1995;21
17;TO;1995;5
35;SP;1995;342
28;SE;1995;5
42;SC;1995;66
43;RS;1995;203
14;RR;1995;1
11;RO;1995;13
24;RN;1995;15
23;CE;1996;49
35;SP;1996;356
28;SE;1996;2
42;SC;1996;55
43;RS;1996;216
14;RR;1996;5
11;RO;1996;7
24;RN;1996;25
33;RJ;1996;97
41;PR;1996;131
22;PI;1996;13
26;PE;1996;70
25;PB;1996;8
15;PA;1996;49
51;MT;1996;29
50;MS;1996;28
31;MG;1996;106
21;MA;1996;8
52;GO;1996;43
32;ES;1996;25
53;DF;1996;23
17;TO;1996;8
29;BA;1996;25
16;AP;1996;8
13;AM;1996;10
27;AL;1996;6
12;AC;1996;5
17;TO;1997;3
52;GO;1997;59
21;MA;1997;8
31;MG;1997;123
50;MS;1997;28
51;MT;1997;22
15;PA;1997;45
25;PB;1997;15
26;PE;1997;73
35;SP;1997;342
28;SE;1997;8
42;SC;1997;66
43;RS;1997;189
14;RR;1997;3
11;RO;1997;6
24;RN;1997;25
33;RJ;1997;104
41;PR;1997;122
22;PI;1997;10
32;ES;1997;26
53;DF;1997;27
23;CE;1997;42
29;BA;1997;44
16;AP;1997;0
13;AM;1997;16
27;AL;1997;12
12;AC;1997;5
26;PE;1998;77
12;AC;1998;2
27;AL;1998;13
13;AM;1998;13
16;AP;1998;3
29;BA;1998;22
23;CE;1998;60
53;DF;1998;14
32;ES;1998;27
52;GO;1998;43
21;MA;1998;19
31;MG;1998;122
50;MS;1998;30
51;MT;1998;34
15;PA;1998;61
25;PB;1998;10
22;PI;1998;12
41;PR;1998;135
33;RJ;1998;87
24;RN;1998;18
11;RO;1998;20
14;RR;1998;2
43;RS;1998;214
42;SC;1998;77
28;SE;1998;8
35;SP;1998;328
17;TO;1998;6
52;GO;1999;58
33;RJ;1999;61
41;PR;1999;100
22;PI;1999;9
26;PE;1999;55
25;PB;1999;12
13;AM;1999;10
15;PA;1999;21
51;MT;1999;29
50;MS;1999;35
31;MG;1999;98
21;MA;1999;17
24;RN;1999;15
32;ES;1999;11
53;DF;1999;17
23;CE;1999;54
29;BA;1999;44
16;AP;1999;0
12;AC;1999;1
27;AL;1999;12
17;TO;1999;6
35;SP;1999;270
28;SE;1999;7
42;SC;1999;61
43;RS;1999;204
14;RR;1999;8
11;RO;1999;15
24;RN;2000;19
33;RJ;2000;85
41;PR;2000;126
22;PI;2000;21
26;PE;2000;66
25;PB;2000;4
15;PA;2000;29
51;MT;2000;30
50;MS;2000;40
31;MG;2000;111
21;MA;2000;21
52;GO;2000;66
32;ES;2000;15
23;CE;2000;55
29;BA;2000;44
16;AP;2000;3
13;AM;2000;17
27;AL;2000;19
53;DF;2000;21
12;AC;2000;12
17;TO;2000;6
35;SP;2000;288
28;SE;2000;12
42;SC;2000;65
43;RS;2000;190
14;RR;2000;4
11;RO;2000;13
12;AC;2001;3
24;RN;2001;31
33;RJ;2001;124
41;PR;2001;124
22;PI;2001;26
26;PE;2001;66
25;PB;2001;16
15;PA;2001;51
51;MT;2001;41
50;MS;2001;32
31;MG;2001;167
21;MA;2001;21
52;GO;2001;71
32;ES;2001;19
53;DF;2001;12
23;CE;2001;63
29;BA;2001;48
16;AP;2001;4
13;AM;2001;18
27;AL;2001;13
14;RR;2001;4
11;RO;2001;17
17;TO;2001;9
35;SP;2001;309
28;SE;2001;18
42;SC;2001;78
43;RS;2001;175
12;AC;2002;6
17;TO;2002;14
11;RO;2002;18
26;PE;2002;65
25;PB;2002;20
15;PA;2002;46
51;MT;2002;46
50;MS;2002;40
31;MG;2002;180
21;MA;2002;45
52;GO;2002;74
32;ES;2002;21
35;SP;2002;294
28;SE;2002;20
42;SC;2002;82
43;RS;2002;189
14;RR;2002;4
24;RN;2002;23
33;RJ;2002;140
41;PR;2002;123
53;DF;2002;24
23;CE;2002;101
29;BA;2002;44
16;AP;2002;8
13;AM;2002;12
27;AL;2002;21
22;PI;2002;34
14;RR;2003;4
17;TO;2003;17
35;SP;2003;296
28;SE;2003;22
11;RO;2003;11
24;RN;2003;35
33;RJ;2003;99
41;PR;2003;104
22;PI;2003;33
26;PE;2003;78
25;PB;2003;15
15;PA;2003;36
51;MT;2003;24
50;MS;2003;50
31;MG;2003;180
21;MA;2003;34
52;GO;2003;59
32;ES;2003;32
53;DF;2003;18
23;CE;2003;90
29;BA;2003;65
16;AP;2003;8
13;AM;2003;13
27;AL;2003;13
12;AC;2003;5
42;SC;2003;71
43;RS;2003;192
17;TO;2004;17
42;SC;2004;82
43;RS;2004;189
14;RR;2004;3
11;RO;2004;13
12;AC;2004;8
27;AL;2004;21
13;AM;2004;15
16;AP;2004;4
24;RN;2004;9
33;RJ;2004;99
41;PR;2004;156
22;PI;2004;40
26;PE;2004;70
25;PB;2004;20
15;PA;2004;35
51;MT;2004;39
50;MS;2004;46
31;MG;2004;195
21;MA;2004;30
52;GO;2004;88
32;ES;2004;35
53;DF;2004;28
23;CE;2004;89
29;BA;2004;59
35;SP;2004;294
28;SE;2004;22
22;PI;2005;42
16;AP;2005;12
29;BA;2005;80
17;TO;2005;17
35;SP;2005;337
28;SE;2005;26
42;SC;2005;83
43;RS;2005;173
14;RR;2005;6
11;RO;2005;13
24;RN;2005;21
33;RJ;2005;100
41;PR;2005;144
13;AM;2005;14
26;PE;2005;88
25;PB;2005;19
15;PA;2005;43
51;MT;2005;37
50;MS;2005;53
31;MG;2005;215
21;MA;2005;23
52;GO;2005;72
32;ES;2005;38
53;DF;2005;23
23;CE;2005;101
12;AC;2005;2
27;AL;2005;23
21;MA;2006;37
31;MG;2006;210
50;MS;2006;34
51;MT;2006;38
15;PA;2006;39
25;PB;2006;35
26;PE;2006;83
22;PI;2006;36
41;PR;2006;126
33;RJ;2006;113
24;RN;2006;26
11;RO;2006;10
14;RR;2006;6
43;RS;2006;208
42;SC;2006;79
28;SE;2006;18
35;SP;2006;352
17;TO;2006;18
53;DF;2006;36
13;AM;2006;21
27;AL;2006;19
12;AC;2006;3
23;CE;2006;96
29;BA;2006;55
16;AP;2006;7
32;ES;2006;45
52;GO;2006;55
14;RR;2007;7
31;MG;2007;216
50;MS;2007;47
51;MT;2007;29
15;PA;2007;41
25;PB;2007;31
26;PE;2007;102
22;PI;2007;50
41;PR;2007;130
33;RJ;2007;102
24;RN;2007;25
11;RO;2007;10
21;MA;2007;27
43;RS;2007;221
42;SC;2007;93
28;SE;2007;26
35;SP;2007;371
17;TO;2007;19
12;AC;2007;5
27;AL;2007;17
13;AM;2007;17
16;AP;2007;4
29;BA;2007;65
23;CE;2007;104
53;DF;2007;24
32;ES;2007;32
52;GO;2007;57
21;MA;2008;39
31;MG;2008;226
28;SE;2008;27
50;MS;2008;28
51;MT;2008;31
15;PA;2008;32
25;PB;2008;39
26;PE;2008;106
22;PI;2008;64
41;PR;2008;133
33;RJ;2008;98
24;RN;2008;28
11;RO;2008;12
14;RR;2008;8
43;RS;2008;228
42;SC;2008;99
17;TO;2008;16
35;SP;2008;377
12;AC;2008;5
27;AL;2008;18
13;AM;2008;29
16;AP;2008;4
29;BA;2008;46
23;CE;2008;114
53;DF;2008;30
32;ES;2008;40
52;GO;2008;76
51;MT;2009;30
17;TO;2009;11
35;SP;2009;376
28;SE;2009;28
42;SC;2009;84
43;RS;2009;187
14;RR;2009;6
11;RO;2009;24
24;RN;2009;22
33;RJ;2009;102
41;PR;2009;121
22;PI;2009;45
26;PE;2009;74
25;PB;2009;36
15;PA;2009;32
50;MS;2009;51
31;MG;2009;244
21;MA;2009;38
52;GO;2009;71
32;ES;2009;42
53;DF;2009;26
23;CE;2009;101
29;BA;2009;58
16;AP;2009;5
13;AM;2009;26
27;AL;2009;26
12;AC;2009;6
22;PI;2010;51
24;RN;2010;34
11;RO;2010;19
14;RR;2010;11
29;BA;2010;93
26;PE;2010;81
25;PB;2010;20
15;PA;2010;37
51;MT;2010;40
43;RS;2010;205
42;SC;2010;119
28;SE;2010;32
35;SP;2010;407
17;TO;2010;19
21;MA;2010;38
23;CE;2010;101
53;DF;2010;37
32;ES;2010;39
50;MS;2010;40
41;PR;2010;117
12;AC;2010;9
27;AL;2010;22
13;AM;2010;34
16;AP;2010;6
33;RJ;2010;153
31;MG;2010;241
52;GO;2010;68
50;MS;2011;43
15;PA;2011;51
25;PB;2011;40
26;PE;2011;62
22;PI;2011;47
41;PR;2011;128
33;RJ;2011;105
24;RN;2011;34
11;RO;2011;24
14;RR;2011;9
43;RS;2011;211
42;SC;2011;115
28;SE;2011;37
35;SP;2011;422
17;TO;2011;19
27;AL;2011;26
13;AM;2011;40
29;BA;2011;77
12;AC;2011;9
23;CE;2011;104
53;DF;2011;22
32;ES;2011;37
52;GO;2011;66
16;AP;2011;7
21;MA;2011;36
31;MG;2011;285
51;MT;2011;33
25;PB;2012;42
22;PI;2012;53
26;PE;2012;74
15;PA;2012;34
51;MT;2012;36
50;MS;2012;43
31;MG;2012;275
21;MA;2012;43
52;GO;2012;85
32;ES;2012;47
53;DF;2012;38
23;CE;2012;91
29;BA;2012;94
16;AP;2012;5
13;AM;2012;28
27;AL;2012;27
12;AC;2012;7
43;RS;2012;241
14;RR;2012;10
11;RO;2012;13
24;RN;2012;40
33;RJ;2012;127
41;PR;2012;139
17;TO;2012;23
35;SP;2012;487
28;SE;2012;23
42;SC;2012;132
28;SE;2013;33
35;SP;2013;458
17;TO;2013;15
50;MS;2013;51
26;PE;2013;61
25;PB;2013;42
15;PA;2013;48
51;MT;2013;40
24;RN;2013;28
33;RJ;2013;116
41;PR;2013;128
22;PI;2013;48
12;AC;2013;10
27;AL;2013;26
13;AM;2013;45
16;AP;2013;5
29;BA;2013;96
23;CE;2013;115
53;DF;2013;28
32;ES;2013;48
52;GO;2013;91
21;MA;2013;45
31;MG;2013;254
14;RR;2013;8
11;RO;2013;15
43;RS;2013;246
42;SC;2013;123
42;SC;2014;146
12;AC;2014;6
27;AL;2014;35
13;AM;2014;47
16;AP;2014;4
29;BA;2014;80
23;CE;2014;108
53;DF;2014;32
32;ES;2014;52
52;GO;2014;95
21;MA;2014;46
31;MG;2014;279
50;MS;2014;44
51;MT;2014;30
15;PA;2014;41
33;RJ;2014;122
24;RN;2014;27
11;RO;2014;23
14;RR;2014;1
43;RS;2014;236
28;SE;2014;28
35;SP;2014;449
17;TO;2014;23
25;PB;2014;28
26;PE;2014;81
22;PI;2014;57
41;PR;2014;113
31;MG;2015;296
51;MT;2015;23
15;PA;2015;55
25;PB;2015;57
26;PE;2015;78
22;PI;2015;62
41;PR;2015;154
33;RJ;2015;120
24;RN;2015;28
11;RO;2015;23
14;RR;2015;12
43;RS;2015;233
42;SC;2015;139
28;SE;2015;21
35;SP;2015;483
17;TO;2015;17
12;AC;2015;6
27;AL;2015;24
13;AM;2015;50
16;AP;2015;12
29;BA;2015;84
23;CE;2015;123
53;DF;2015;38
32;ES;2015;54
52;GO;2015;96
21;MA;2015;59
50;MS;2015;49
22;PI;2016;75
41;PR;2016;125
15;PA;2016;64
51;MT;2016;36
50;MS;2016;43
31;MG;2016;287
21;MA;2016;64
52;GO;2016;99
32;ES;2016;50
53;DF;2016;34
23;CE;2016;104
29;BA;2016;100
16;AP;2016;5
13;AM;2016;39
27;AL;2016;25
12;AC;2016;13
33;RJ;2016;138
24;RN;2016;35
11;RO;2016;23
14;RR;2016;18
43;RS;2016;243
42;SC;2016;159
28;SE;2016;25
35;SP;2016;439
17;TO;2016;19
25;PB;2016;34
26;PE;2016;82
43;RS;2017;269
11;RO;2017;27
24;RN;2017;38
33;RJ;2017;161
41;PR;2017;180
22;PI;2017;56
26;PE;2017;109
25;PB;2017;53
15;PA;2017;69
51;MT;2017;54
23;CE;2017;110
50;MS;2017;59
31;MG;2017;318
21;MA;2017;56
29;BA;2017;107
16;AP;2017;8
32;ES;2017;47
52;GO;2017;104
27;AL;2017;29
13;AM;2017;40
12;AC;2017;17
53;DF;2017;42
17;TO;2017;26
35;SP;2017;475
28;SE;2017;32
42;SC;2017;163
14;RR;2017;15
27;AL;2018;36
12;AC;2018;17
13;AM;2018;48
16;AP;2018;20
29;BA;2018;83
23;CE;2018;116
53;DF;2018;59
32;ES;2018;58
52;GO;2018;112
21;MA;2018;65
31;MG;2018;331
50;MS;2018;61
51;MT;2018;53
15;PA;2018;70
25;PB;2018;55
26;PE;2018;89
22;PI;2018;88
41;PR;2018;169
33;RJ;2018;174
24;RN;2018;31
11;RO;2018;34
14;RR;2018;12
43;RS;2018;256
42;SC;2018;173
28;SE;2018;31
17;TO;2018;25
35;SP;2018;463
35;SP;2019;511
17;TO;2019;26
23;CE;2019;132
53;DF;2019;54
32;ES;2019;69
52;GO;2019;130
21;MA;2019;69
31;MG;2019;359
50;MS;2019;58
11;RO;2019;35
14;RR;2019;13
43;RS;2019;284
51;MT;2019;60
12;AC;2019;13
29;BA;2019;118
15;PA;2019;78
25;PB;2019;52
26;PE;2019;92
22;PI;2019;67
41;PR;2019;198
33;RJ;2019;178
24;RN;2019;33
16;AP;2019;14
13;AM;2019;52
27;AL;2019;33
42;SC;2019;171
28;SE;2019;20
33;RJ;2020;215
24;RN;2020;43
11;RO;2020;27
14;RR;2020;7
43;RS;2020;287
42;SC;2020;162
28;SE;2020;24
35;SP;2020;539
17;TO;2020;27
41;PR;2020;188
22;PI;2020;69
26;PE;2020;110
25;PB;2020;49
15;PA;2020;83
51;MT;2020;55
50;MS;2020;52
31;MG;2020;358
21;MA;2020;57
52;GO;2020;127
32;ES;2020;59
53;DF;2020;45
23;CE;2020;119
29;BA;2020;131
16;AP;2020;13
13;AM;2020;59
27;AL;2020;38
12;AC;2020;21
24;RN;2021;46
15;PA;2021;77
51;MT;2021;53
50;MS;2021;75
31;MG;2021;428
21;MA;2021;77
52;GO;2021;163
32;ES;2021;71
12;AC;2021;16
53;DF;2021;45
23;CE;2021;165
29;BA;2021;151
16;AP;2021;17
13;AM;2021;62
27;AL;2021;38
25;PB;2021;53
26;PE;2021;135
22;PI;2021;68
41;PR;2021;254
33;RJ;2021;264
11;RO;2021;36
14;RR;2021;23
43;RS;2021;304
42;SC;2021;168
28;SE;2021;26
35;SP;2021;579
17;TO;2021;37
13;AM;2022;23
53;DF;2022;66
32;ES;2022;58
52;GO;2022;164
21;MA;2022;78
31;MG;2022;67
50;MS;2022;81
51;MT;2022;451
15;PA;2022;109
25;PB;2022;77
26;PE;2022;224
22;PI;2022;96
41;PR;2022;70
33;RJ;2022;227
24;RN;2022;57
11;RO;2022;298
14;RR;2022;37
43;RS;2022;12
42;SC;2022;212
28;SE;2022;606
35;SP;2022;38
23;CE;2022;166
17;TO;2022;32
16;AP;2022;70
29;BA;2022;161
12;AC;2022;21
27;AL;2022;52
