cod;nome;período;valor
51;MT;1989;51
50;MS;1989;79
43;RS;1989;715
11;RO;1989;47
12;AC;1989;17
13;AM;1989;35
14;RR;1989;5
15;PA;1989;89
16;AP;1989;7
17;TO;1989;20
21;MA;1989;32
22;PI;1989;33
23;CE;1989;100
32;ES;1989;75
24;RN;1989;59
41;PR;1989;432
35;SP;1989;1192
33;RJ;1989;254
25;PB;1989;60
26;PE;1989;97
27;AL;1989;41
28;SE;1989;7
29;BA;1989;111
31;MG;1989;450
53;DF;1989;65
42;SC;1989;264
52;GO;1989;154
11;RO;1990;50
12;AC;1990;13
13;AM;1990;28
14;RR;1990;4
15;PA;1990;88
16;AP;1990;4
17;TO;1990;9
21;MA;1990;30
22;PI;1990;28
23;CE;1990;111
24;RN;1990;65
25;PB;1990;85
26;PE;1990;189
27;AL;1990;35
28;SE;1990;11
29;BA;1990;93
31;MG;1990;482
32;ES;1990;85
33;RJ;1990;297
35;SP;1990;1345
41;PR;1990;459
42;SC;1990;327
43;RS;1990;703
50;MS;1990;81
51;MT;1990;46
52;GO;1990;104
53;DF;1990;73
27;AL;1991;42
53;DF;1991;92
52;GO;1991;183
51;MT;1991;52
11;RO;1991;46
12;AC;1991;16
13;AM;1991;33
14;RR;1991;18
15;PA;1991;111
16;AP;1991;10
17;TO;1991;13
21;MA;1991;52
22;PI;1991;22
23;CE;1991;132
24;RN;1991;74
25;PB;1991;70
26;PE;1991;233
50;MS;1991;69
28;SE;1991;42
29;BA;1991;97
31;MG;1991;494
32;ES;1991;101
33;RJ;1991;204
35;SP;1991;1383
41;PR;1991;468
42;SC;1991;336
43;RS;1991;793
22;PI;1992;30
23;CE;1992;128
24;RN;1992;47
25;PB;1992;50
26;PE;1992;191
32;ES;1992;81
33;RJ;1992;182
35;SP;1992;1447
41;PR;1992;482
42;SC;1992;309
43;RS;1992;820
50;MS;1992;93
51;MT;1992;59
52;GO;1992;194
53;DF;1992;79
27;AL;1992;52
28;SE;1992;79
29;BA;1992;116
31;MG;1992;548
11;RO;1992;48
12;AC;1992;9
13;AM;1992;40
14;RR;1992;8
15;PA;1992;115
16;AP;1992;10
17;TO;1992;17
21;MA;1992;34
52;GO;1993;203
11;RO;1993;50
12;AC;1993;19
13;AM;1993;45
14;RR;1993;12
15;PA;1993;106
16;AP;1993;11
17;TO;1993;13
21;MA;1993;43
22;PI;1993;48
23;CE;1993;170
24;RN;1993;65
25;PB;1993;48
26;PE;1993;238
27;AL;1993;59
28;SE;1993;34
29;BA;1993;142
31;MG;1993;522
32;ES;1993;98
