cod;nome;período;valor
1076;BRA;1989;0.511590333
1076;BRA;1990;0.564921736
1076;BRA;1991;0.583686176
1076;BRA;1992;0.597239302
1076;BRA;1993;0.638045789
1076;BRA;1994;0.706449611
1076;BRA;1995;0.859953957
1076;BRA;1996;0.838478789
1076;BRA;1997;0.814351137
1076;BRA;1998;0.754063062
1076;BRA;1999;0.673996512
1076;BRA;2000;1.34
1076;BRA;2001;1.41
1076;BRA;2002;1.35
1076;BRA;2003;1.32
1076;BRA;2004;1.21
1076;BRA;2005;1.2
1076;BRA;2006;1.08
1076;BRA;2007;1.07
1076;BRA;2008;1.06
1076;BRA;2009;1
1076;BRA;2010;0.9
1076;BRA;2011;0.85
1076;BRA;2012;0.89
1076;BRA;2013;0.94
1076;BRA;2014;0.87
1076;BRA;2015;0.81
1076;BRA;2016;0.85
1076;BRA;2017;0.83
1076;BRA;2018;0.86
1076;BRA;2019;0.85
1076;BRA;2020;0.83
1076;BRA;2021;0.91
1076;BRA;2022;0.95
