cod;nome;período;valor
5;CO;1989;0.063507765
1;N;1989;0.018699509
3;SE;1989;0.014465658
2;NE;1989;0.016758994
4;S;1989;0.020161195
2;NE;1990;0.01825913
5;CO;1990;0.043554307
3;SE;1990;0.012446049
4;S;1990;0.018943043
1;N;1990;0.011721615
4;S;1991;0.017441614
1;N;1991;0.015787349
5;CO;1991;0.05884634
3;SE;1991;0.01260099
2;NE;1991;0.018324378
1;N;1992;0.010816508
5;CO;1992;0.062949961
3;SE;1992;0.013938834
4;S;1992;0.017802315
2;NE;1992;0.017011332
2;NE;1993;0.018649473
4;S;1993;0.020310058
3;SE;1993;0.013912017
5;CO;1993;0.068256287
1;N;1993;0.012695668
5;CO;1994;0.06668448
3;SE;1994;0.015639984
4;S;1994;0.023441662
2;NE;1994;0.020786186
1;N;1994;0.012756183
4;S;1995;0.030270719
5;CO;1995;0.096555832
3;SE;1995;0.017230469
1;N;1995;0.014341726
2;NE;1995;0.025404484
3;SE;1996;0.017177449
4;S;1996;0.030847835
2;NE;1996;0.021429817
1;N;1996;0.009721349
5;CO;1996;0.100836784
5;CO;1997;0.080436569
3;SE;1997;0.016634087
4;S;1997;0.030166903
2;NE;1997;0.022331856
1;N;1997;0.014728767
3;SE;1998;0.014033847
4;S;1998;0.031055096
2;NE;1998;0.019351338
1;N;1998;0.017663533
5;CO;1998;0.068245611
3;SE;1999;0.011136882
4;S;1999;0.030703526
2;NE;1999;0.018493154
1;N;1999;0.010979997
5;CO;1999;0.064843733
3;SE;2000;0.99
4;S;2000;3.45
2;NE;2000;0.6
1;N;2000;0.74
5;CO;2000;2.73
4;S;2001;3.2
3;SE;2001;1.15
2;NE;2001;0.72
1;N;2001;0.95
5;CO;2001;2.58
5;CO;2002;2.63
4;S;2002;3.02
3;SE;2002;1.11
2;NE;2002;0.72
1;N;2002;0.68
4;S;2003;3.08
3;SE;2003;1.1
2;NE;2003;0.62
1;N;2003;0.77
5;CO;2003;2.45
3;SE;2004;1
4;S;2004;2.89
5;CO;2004;1.54
2;NE;2004;0.67
1;N;2004;0.85
2;NE;2005;0.71
5;CO;2005;1.74
4;S;2005;2.63
1;N;2005;0.81
3;SE;2005;1.02
2;NE;2006;0.7
5;CO;2006;1.42
4;S;2006;2.31
3;SE;2006;0.94
1;N;2006;0.62
4;S;2007;2.38
3;SE;2007;0.83
2;NE;2007;0.74
5;CO;2007;1.41
1;N;2007;0.84
2;NE;2008;0.72
4;S;2008;2.16
5;CO;2008;1.55
1;N;2008;0.99
3;SE;2008;0.84
1;N;2009;0.73
4;S;2009;2.2
5;CO;2009;1.31
3;SE;2009;0.84
2;NE;2009;0.62
2;NE;2010;0.64
4;S;2010;1.67
5;CO;2010;1.04
1;N;2010;0.67
3;SE;2010;0.82
4;S;2011;1.68
5;CO;2011;1.1
1;N;2011;0.76
3;SE;2011;0.78
2;NE;2011;0.49
4;S;2012;1.78
2;NE;2012;0.58
1;N;2012;1.06
5;CO;2012;1.11
3;SE;2012;0.72
3;SE;2013;0.77
2;NE;2013;0.57
1;N;2013;0.88
4;S;2013;2.01
5;CO;2013;1.27
1;N;2014;0.58
2;NE;2014;0.63
3;SE;2014;0.75
4;S;2014;1.69
5;CO;2014;1.23
1;N;2015;0.63
2;NE;2015;0.54
3;SE;2015;0.62
4;S;2015;1.83
5;CO;2015;1.09
1;N;2016;0.7
2;NE;2016;0.56
3;SE;2016;0.74
4;S;2016;1.66
5;CO;2016;1.15
3;SE;2017;0.62
5;CO;2017;0.96
4;S;2017;1.77
2;NE;2017;0.68
1;N;2017;0.65
5;CO;2018;1.35
1;N;2018;0.51
2;NE;2018;0.59
3;SE;2018;0.65
4;S;2018;1.93
3;SE;2019;0.66
4;S;2019;1.77
5;CO;2019;1.21
2;NE;2019;0.62
1;N;2019;0.69
1;N;2020;0.6
5;CO;2020;0.99
2;NE;2020;0.62
4;S;2020;1.99
3;SE;2020;0.59
3;SE;2021;0.7
5;CO;2021;1.46
1;N;2021;0.74
2;NE;2021;0.7
4;S;2021;1.74
1;N;2022;0.65
3;SE;2022;2
5;CO;2022;1.42
4;S;2022;0.74
2;NE;2022;0.7
