cod;nome;período;valor
12;AC;1989;1.261559035
27;AL;1989;0.413826438
13;AM;1989;0.454637989
16;AP;1989;0.372533826
29;BA;1989;0.157554061
23;CE;1989;0.243168347
53;DF;1989;1.378690953
32;ES;1989;0.601302903
52;GO;1989;0.986008283
21;MA;1989;0.084056181
31;MG;1989;0.509510237
50;MS;1989;1.173078322
51;MT;1989;0.590121474
15;PA;1989;0.471499364
25;PB;1989;0.224218191
26;PE;1989;0.316683187
22;PI;1989;0.199940418
41;PR;1989;0.819452945
33;RJ;1989;0.271365851
24;RN;1989;0.560216606
11;RO;1989;0.985378947
14;RR;1989;0
43;RS;1989;1.170120171
42;SC;1989;0.640131977
28;SE;1989;0.070064074
35;SP;1989;0.526555875
17;TO;1989;0.676726583
12;AC;1990;0.984554797
27;AL;1990;0.487436725
13;AM;1990;0.147269766
16;AP;1990;0
29;BA;1990;0.206349512
23;CE;1990;0.415292276
53;DF;1990;0.961906576
32;ES;1990;0.589651151
52;GO;1990;0.559708138
21;MA;1990;0.144674012
31;MG;1990;0.573796185
50;MS;1990;1.609200026
51;MT;1990;0.618589863
15;PA;1990;0.416837136
25;PB;1990;0.379896269
26;PE;1990;0.625792908
22;PI;1990;0.118176164
41;PR;1990;0.848452011
33;RJ;1990;0.339687893
24;RN;1990;0.211442239
11;RO;1990;1.215378085
14;RR;1990;0.490251352
43;RS;1990;1.410402775
42;SC;1990;0.988286558
28;SE;1990;0.068619957
35;SP;1990;0.552588007
17;TO;1990;0.221711301
12;AC;1991;2.633355517
27;AL;1991;0.397756652
13;AM;1991;0.285273742
16;AP;1991;0.345546084
29;BA;1991;0.210650648
23;CE;1991;0.471205644
53;DF;1991;1.93617614
32;ES;1991;0.922857567
52;GO;1991;1.02017889
21;MA;1991;0.121697609
31;MG;1991;0.539917292
50;MS;1991;1.235696115
51;MT;1991;0.591940435
15;PA;1991;0.565649709
25;PB;1991;0.218673874
26;PE;1991;0.491031313
22;PI;1991;0.154910448
41;PR;1991;0.73383958
33;RJ;1991;0.242041783
24;RN;1991;0.455379627
11;RO;1991;0.706282025
14;RR;1991;1.378784188
43;RS;1991;1.247446291
42;SC;1991;1.122854852
28;SE;1991;0.603267296
35;SP;1991;0.595145292
17;TO;1991;0.217423682
12;AC;1992;0.46545942
27;AL;1992;0.552112956
13;AM;1992;0.603223067
16;AP;1992;0.6541891
29;BA;1992;0.258546311
23;CE;1992;0.248178563
53;DF;1992;1.584279077
32;ES;1992;0.682529667
52;GO;1992;1.265520268
21;MA;1992;0.060201833
31;MG;1992;0.754161416
50;MS;1992;1.328093268
51;MT;1992;0.629527148
15;PA;1992;0.356315131
25;PB;1992;0.279498245
26;PE;1992;0.445867132
22;PI;1992;0.192408411
41;PR;1992;0.877261932
33;RJ;1992;0.224523876
24;RN;1992;0.286708521
11;RO;1992;0.086917824
14;RR;1992;0.448553192
43;RS;1992;1.451926077
42;SC;1992;0.564922895
28;SE;1992;0.791631923
35;SP;1992;0.627186866
17;TO;1992;0.424085962
12;AC;1993;1.371431706
27;AL;1993;0.383966629
13;AM;1993;0.1803764
16;AP;1993;0.647685173
29;BA;1993;0.24433927
23;CE;1993;0.503829255
53;DF;1993;1.61372069
32;ES;1993;0.852271675
52;GO;1993;1.34243987
21;MA;1993;0.117903464
31;MG;1993;0.625588309
50;MS;1993;1.675544349
51;MT;1993;0.600935703
15;PA;1993;0.460402419
25;PB;1993;0.061079743
26;PE;1993;0.60314375
22;PI;1993;0.263411205
41;PR;1993;1.001414789
33;RJ;1993;0.359732384
24;RN;1993;0.399453388
11;RO;1993;0.644274893
14;RR;1993;0
43;RS;1993;1.654118135
42;SC;1993;0.681257789
28;SE;1993;0.128899367
35;SP;1993;0.620771472
17;TO;1993;0.515354471
12;AC;1994;1.567843968
27;AL;1994;0.945029165
13;AM;1994;0.616857209
16;AP;1994;0.314867409
29;BA;1994;0.144409592
23;CE;1994;0.346737658
53;DF;1994;1.817234298
32;ES;1994;0.61970494
52;GO;1994;1.273363869
21;MA;1994;0.077504555
31;MG;1994;0.673716848
50;MS;1994;1.647323896
