cod;nome;período;valor
1076;BRA;1989;2.41
1076;BRA;1990;2.51
1076;BRA;1991;2.71
1076;BRA;1992;2.74
1076;BRA;1993;2.87
1076;BRA;1994;3.01
1076;BRA;1995;3.32
1076;BRA;1996;3.39
1076;BRA;1997;3.44
1076;BRA;1998;3.41
1076;BRA;1999;3.23
1076;BRA;2000;6.26
1076;BRA;2001;7.07
1076;BRA;2002;6.81
1076;BRA;2003;6.98
1076;BRA;2004;6.96
1076;BRA;2005;7.35
1076;BRA;2006;7.36
1076;BRA;2007;7.46
1076;BRA;2008;7.78
1076;BRA;2009;7.83
1076;BRA;2010;7.63
1076;BRA;2011;7.95
1076;BRA;2012;8.18
1076;BRA;2013;8.36
1076;BRA;2014;8.41
1076;BRA;2015;8.7
1076;BRA;2016;8.9
1076;BRA;2017;9.59
1076;BRA;2018;9.69
1076;BRA;2019;10.2
1076;BRA;2020;10.49
1076;BRA;2021;11.56
1076;BRA;2022;12.33
