cod;nome;período;valor
2;NE;1989;0.07
4;S;1989;0.11
3;SE;1989;0.08
5;CO;1989;0.19
1;N;1989;0.06
3;SE;1990;0.07
5;CO;1990;0.13
1;N;1990;0.04
2;NE;1990;0.07
4;S;1990;0.09
4;S;1991;0.09
5;CO;1991;0.17
1;N;1991;0.05
2;NE;1991;0.08
3;SE;1991;0.07
4;S;1992;0.09
2;NE;1992;0.07
5;CO;1992;0.18
3;SE;1992;0.07
1;N;1992;0.05
2;NE;1993;0.09
1;N;1993;0.05
5;CO;1993;0.2
4;S;1993;0.09
3;SE;1993;0.07
5;CO;1994;0.2
1;N;1994;0.05
2;NE;1994;0.09
4;S;1994;0.1
3;SE;1994;0.07
1;N;1995;0.05
3;SE;1995;0.08
4;S;1995;0.11
2;NE;1995;0.1
5;CO;1995;0.25
2;NE;1996;0.1
1;N;1996;0.06
5;CO;1996;0.25
3;SE;1996;0.08
4;S;1996;0.11
2;NE;1997;0.1
1;N;1997;0.06
5;CO;1997;0.24
3;SE;1997;0.08
4;S;1997;0.12
4;S;1998;0.12
1;N;1998;0.07
5;CO;1998;0.21
3;SE;1998;0.08
2;NE;1998;0.1
4;S;1999;0.12
1;N;1999;0.05
5;CO;1999;0.23
3;SE;1999;0.07
2;NE;1999;0.1
2;NE;2000;3.59
1;N;2000;4.24
5;CO;2000;9.57
4;S;2000;13.11
3;SE;2000;5.51
2;NE;2001;4.61
3;SE;2001;6.46
5;CO;2001;8.81
1;N;2001;4.8
4;S;2001;14
1;N;2002;4.02
3;SE;2002;6.18
4;S;2002;12.82
2;NE;2002;4.7
5;CO;2002;9.8
4;S;2003;12.78
2;NE;2003;4.91
3;SE;2003;6.34
1;N;2003;4.73
5;CO;2003;9.68
4;S;2004;13.09
1;N;2004;4.76
2;NE;2004;5.08
3;SE;2004;6.17
5;CO;2004;9.05
4;S;2005;13.5
1;N;2005;4.89
2;NE;2005;5.73
3;SE;2005;6.52
5;CO;2005;8.94
4;S;2006;12.79
1;N;2006;4.86
2;NE;2006;6
3;SE;2006;6.61
5;CO;2006;9.01
5;CO;2007;8.68
1;N;2007;5.6
2;NE;2007;6.57
3;SE;2007;6.35
4;S;2007;12.84
5;CO;2008;10.02
1;N;2008;6.45
2;NE;2008;6.52
3;SE;2008;6.68
4;S;2008;13.05
4;S;2009;13.68
1;N;2009;5.96
2;NE;2009;6.28
3;SE;2009;6.97
5;CO;2009;9.3
4;S;2010;12.31
1;N;2010;5.93
2;NE;2010;6.15
3;SE;2010;7.14
5;CO;2010;8.79
4;S;2011;12.13
1;N;2011;6.37
2;NE;2011;6.78
3;SE;2011;7.45
5;CO;2011;8.87
5;CO;2012;9.91
1;N;2012;6.75
2;NE;2012;6.79
4;S;2012;13.05
3;SE;2012;7.43
3;SE;2013;7.41
5;CO;2013;9.98
4;S;2013;13.11
2;NE;2013;7.3
1;N;2013;7.11
5;CO;2014;9.88
1;N;2014;6.43
2;NE;2014;6.9
3;SE;2014;8.07
4;S;2014;12.71
4;S;2015;13.61
1;N;2015;7.94
2;NE;2015;7.23
3;SE;2015;7.98
5;CO;2015;9.54
4;S;2016;14.26
1;N;2016;7.19
2;NE;2016;7.81
3;SE;2016;7.84
5;CO;2016;10.54
4;S;2017;15.35
1;N;2017;7.62
2;NE;2017;8.53
3;SE;2017;8.49
5;CO;2017;10.9
2;NE;2018;8.53
1;N;2018;8.32
3;SE;2018;8.46
4;S;2018;15.55
5;CO;2018;11.19
5;CO;2019;12.11
1;N;2019;8.9
2;NE;2019;8.71
3;SE;2019;8.79
4;S;2019;16.93
5;CO;2020;12.46
3;SE;2020;8.93
4;S;2020;16.85
2;NE;2020;9.34
1;N;2020;9.4
3;SE;2021;9.76
4;S;2021;18.47
2;NE;2021;10.85
1;N;2021;9.9
5;CO;2021;13
3;SE;2022;14.62
4;S;2022;19.65
2;NE;2022;10.68
1;N;2022;10.84
5;CO;2022;10.72
