cod;nome;período;valor
53;DF;1989;3.35
23;CE;1989;1.28
29;BA;1989;0.67
16;AP;1989;2.24
13;AM;1989;1.52
27;AL;1989;1.37
12;AC;1989;3.03
17;TO;1989;2.03
35;SP;1989;2.97
28;SE;1989;0.35
42;SC;1989;4.64
43;RS;1989;6.27
14;RR;1989;2.6
11;RO;1989;3.05
24;RN;1989;1.94
33;RJ;1989;1.48
41;PR;1989;3.82
22;PI;1989;0.92
26;PE;1989;1.17
25;PB;1989;1.35
15;PA;1989;1.44
51;MT;1989;2.04
50;MS;1989;3.58
31;MG;1989;2.27
21;MA;1989;0.53
52;GO;1989;3.04
32;ES;1989;2.33
32;ES;1990;2.63
23;CE;1990;1.39
29;BA;1990;0.6
16;AP;1990;1.44
13;AM;1990;1.18
27;AL;1990;1.22
12;AC;1990;1.97
17;TO;1990;0.78
35;SP;1990;3.3
28;SE;1990;0.62
42;SC;1990;5.48
43;RS;1990;5.81
14;RR;1990;1.96
11;RO;1990;3.27
24;RN;1990;1.95
33;RJ;1990;1.68
41;PR;1990;3.91
22;PI;1990;0.71
26;PE;1990;1.91
25;PB;1990;2.12
15;PA;1990;1.42
51;MT;1990;1.86
50;MS;1990;3.39
31;MG;1990;2.34
21;MA;1990;0.5
52;GO;1990;1.86
53;DF;1990;3.72
28;SE;1991;2.08
17;TO;1991;1.2
35;SP;1991;3.47
12;AC;1991;3.59
27;AL;1991;1.19
13;AM;1991;1.28
16;AP;1991;1.73
29;BA;1991;0.67
24;RN;1991;2.36
42;SC;1991;5.99
43;RS;1991;6.58
14;RR;1991;6.43
11;RO;1991;2.91
23;CE;1991;1.55
53;DF;1991;4.06
32;ES;1991;2.96
52;GO;1991;3.51
21;MA;1991;0.85
31;MG;1991;2.45
50;MS;1991;2.98
51;MT;1991;2.12
15;PA;1991;1.76
25;PB;1991;1.56
26;PE;1991;2.31
22;PI;1991;0.7
41;PR;1991;4
33;RJ;1991;1.14
50;MS;1992;3.98
14;RR;1992;1.79
43;RS;1992;7.13
42;SC;1992;5.37
28;SE;1992;3.76
35;SP;1992;3.49
17;TO;1992;1.27
12;AC;1992;2.09
27;AL;1992;1.42
13;AM;1992;1.39
16;AP;1992;2.94
29;BA;1992;0.82
23;CE;1992;1.6
53;DF;1992;3.53
32;ES;1992;2.54
52;GO;1992;3.63
21;MA;1992;0.56
31;MG;1992;2.81
51;MT;1992;2.23
15;PA;1992;1.66
25;PB;1992;1.3
26;PE;1992;2.01
22;PI;1992;0.81
41;PR;1992;4.05
33;RJ;1992;1.05
24;RN;1992;1.31
11;RO;1992;2.35
23;CE;1993;2.03
51;MT;1993;2.22
15;PA;1993;1.61
25;PB;1993;1.22
26;PE;1993;2.34
22;PI;1993;1.28
41;PR;1993;4.08
33;RJ;1993;1.43
24;RN;1993;2.16
11;RO;1993;3.06
