cod;nome;período;valor
1076;BRA;1989;0.25
1076;BRA;1990;0.3
1076;BRA;1991;0.33
1076;BRA;1992;0.32
1076;BRA;1993;0.37
1076;BRA;1994;0.39
1076;BRA;1995;0.44
1076;BRA;1996;0.4
1076;BRA;1997;0.38
1076;BRA;1998;0.34
1076;BRA;1999;0.31
1076;BRA;2000;1.04
1076;BRA;2001;1.16
1076;BRA;2002;1.09
1076;BRA;2003;1.02
1076;BRA;2004;0.92
1076;BRA;2005;0.83
1076;BRA;2006;0.78
1076;BRA;2007;0.7
1076;BRA;2008;0.72
1076;BRA;2009;0.59
1076;BRA;2010;0.57
1076;BRA;2011;0.48
1076;BRA;2012;0.55
1076;BRA;2013;0.49
1076;BRA;2014;0.51
1076;BRA;2015;0.42
1076;BRA;2016;0.43
1076;BRA;2017;0.41
1076;BRA;2018;0.44
1076;BRA;2019;0.46
1076;BRA;2020;0.43
1076;BRA;2021;0.46
1076;BRA;2022;0.51
