cod;nome;período;valor
1;N;1989;0.01
2;NE;1989;0.01
4;S;1989;0.01
3;SE;1989;0.01
5;CO;1989;0.03
2;NE;1990;0.01
5;CO;1990;0.03
1;N;1990;0.01
3;SE;1990;0.01
4;S;1990;0.01
3;SE;1991;0.01
1;N;1991;0.01
5;CO;1991;0.04
4;S;1991;0.01
2;NE;1991;0.01
4;S;1992;0.01
3;SE;1992;0.01
2;NE;1992;0.01
1;N;1992;0.01
5;CO;1992;0.04
2;NE;1993;0.01
1;N;1993;0.01
5;CO;1993;0.05
3;SE;1993;0.01
4;S;1993;0.01
2;NE;1994;0.01
1;N;1994;0.01
5;CO;1994;0.04
3;SE;1994;0.01
4;S;1994;0.01
4;S;1995;0.02
1;N;1995;0.01
5;CO;1995;0.06
3;SE;1995;0.01
2;NE;1995;0.01
4;S;1996;0.02
1;N;1996;0.01
5;CO;1996;0.05
3;SE;1996;0.01
2;NE;1996;0.01
3;SE;1997;0.01
1;N;1997;0.01
5;CO;1997;0.04
4;S;1997;0.01
2;NE;1997;0.01
2;NE;1998;0.01
3;SE;1998;0.01
4;S;1998;0.01
1;N;1998;0.01
5;CO;1998;0.03
1;N;1999;0.01
2;NE;1999;0.01
5;CO;1999;0.03
3;SE;1999;0
4;S;1999;0.01
4;S;2000;2.68
1;N;2000;0.68
5;CO;2000;2.52
3;SE;2000;0.73
2;NE;2000;0.43
1;N;2001;0.91
5;CO;2001;1.95
4;S;2001;2.55
2;NE;2001;0.68
3;SE;2001;0.95
3;SE;2002;0.86
4;S;2002;2.31
5;CO;2002;1.68
1;N;2002;0.82
2;NE;2002;0.79
3;SE;2003;0.87
4;S;2003;2.18
5;CO;2003;1.98
2;NE;2003;0.55
1;N;2003;0.68
5;CO;2004;1.47
4;S;2004;2.16
3;SE;2004;0.74
2;NE;2004;0.46
1;N;2004;0.92
4;S;2005;2
3;SE;2005;0.68
5;CO;2005;1.32
2;NE;2005;0.46
1;N;2005;0.54
4;S;2006;1.52
5;CO;2006;0.92
1;N;2006;0.51
2;NE;2006;0.64
3;SE;2006;0.67
3;SE;2007;0.47
2;NE;2007;0.54
1;N;2007;0.9
5;CO;2007;0.93
4;S;2007;1.44
4;S;2008;1.33
3;SE;2008;0.54
5;CO;2008;0.8
2;NE;2008;0.55
1;N;2008;1.06
5;CO;2009;0.74
4;S;2009;1.27
3;SE;2009;0.48
2;NE;2009;0.4
1;N;2009;0.57
1;N;2010;0.5
2;NE;2010;0.49
3;SE;2010;0.5
5;CO;2010;0.56
4;S;2010;1
4;S;2011;0.83
2;NE;2011;0.35
1;N;2011;0.44
5;CO;2011;0.53
3;SE;2011;0.46
4;S;2012;0.79
2;NE;2012;0.42
1;N;2012;0.93
3;SE;2012;0.42
5;CO;2012;0.77
2;NE;2013;0.37
4;S;2013;0.87
3;SE;2013;0.34
5;CO;2013;0.79
1;N;2013;0.66
4;S;2014;0.91
5;CO;2014;0.62
1;N;2014;0.49
2;NE;2014;0.36
3;SE;2014;0.47
1;N;2015;0.38
3;SE;2015;0.35
4;S;2015;0.79
5;CO;2015;0.52
2;NE;2015;0.35
4;S;2016;0.65
5;CO;2016;0.64
3;SE;2016;0.37
2;NE;2016;0.34
1;N;2016;0.5
2;NE;2017;0.39
3;SE;2017;0.28
1;N;2017;0.34
4;S;2017;0.77
5;CO;2017;0.59
4;S;2018;0.74
1;N;2018;0.45
2;NE;2018;0.35
5;CO;2018;0.75
3;SE;2018;0.32
5;CO;2019;0.72
1;N;2019;0.53
2;NE;2019;0.37
3;SE;2019;0.33
4;S;2019;0.79
3;SE;2020;0.3
5;CO;2020;0.7
1;N;2020;0.29
2;NE;2020;0.34
4;S;2020;0.97
4;S;2021;0.88
5;CO;2021;0.8
1;N;2021;0.51
2;NE;2021;0.38
3;SE;2021;0.29
4;S;2022;0.92
1;N;2022;0.56
5;CO;2022;0.89
2;NE;2022;0.34
3;SE;2022;0.38
