cod;nome;período;valor
17;TO;1989;0.11
16;AP;1989;0
29;BA;1989;0.14
23;CE;1989;0.16
53;DF;1989;0.79
32;ES;1989;0.24
52;GO;1989;0.44
21;MA;1989;0.02
31;MG;1989;0.21
50;MS;1989;0.76
51;MT;1989;0.27
12;AC;1989;1.51
15;PA;1989;0.34
25;PB;1989;0.06
26;PE;1989;0.1
22;PI;1989;0.16
41;PR;1989;0.47
33;RJ;1989;0.11
24;RN;1989;0.3
11;RO;1989;0.49
13;AM;1989;0.3
14;RR;1989;0
43;RS;1989;0.51
42;SC;1989;0.32
28;SE;1989;0
35;SP;1989;0.21
27;AL;1989;0.25
14;RR;1990;0.49
12;AC;1990;0.49
27;AL;1990;0.2
13;AM;1990;0.1
16;AP;1990;0
29;BA;1990;0.13
23;CE;1990;0.27
53;DF;1990;0.83
32;ES;1990;0.31
52;GO;1990;0.31
21;MA;1990;0.06
31;MG;1990;0.28
50;MS;1990;1.09
51;MT;1990;0.26
15;PA;1990;0.29
25;PB;1990;0.19
26;PE;1990;0.3
22;PI;1990;0.16
41;PR;1990;0.39
33;RJ;1990;0.17
24;RN;1990;0.17
11;RO;1990;0.65
43;RS;1990;0.57
42;SC;1990;0.65
28;SE;1990;0.07
35;SP;1990;0.28
17;TO;1990;0.11
25;PB;1991;0.12
12;AC;1991;1.68
27;AL;1991;0.2
13;AM;1991;0.24
16;AP;1991;0.35
29;BA;1991;0.09
23;CE;1991;0.24
53;DF;1991;1.56
32;ES;1991;0.58
52;GO;1991;0.72
21;MA;1991;0.06
31;MG;1991;0.36
50;MS;1991;0.56
51;MT;1991;0.39
15;PA;1991;0.4
26;PE;1991;0.24
22;PI;1991;0.15
41;PR;1991;0.54
33;RJ;1991;0.09
24;RN;1991;0.08
11;RO;1991;0.62
14;RR;1991;0.46
43;RS;1991;0.66
42;SC;1991;0.42
28;SE;1991;0.34
35;SP;1991;0.32
17;TO;1991;0.22
16;AP;1992;0.33
29;BA;1992;0.13
23;CE;1992;0.19
53;DF;1992;1.1
32;ES;1992;0.3
52;GO;1992;0.78
21;MA;1992;0.06
31;MG;1992;0.37
50;MS;1992;0.5
51;MT;1992;0.24
15;PA;1992;0.2
25;PB;1992;0.09
26;PE;1992;0.24
22;PI;1992;0.12
41;PR;1992;0.6
33;RJ;1992;0.07
24;RN;1992;0.25
11;RO;1992;0.35
14;RR;1992;0.45
43;RS;1992;0.66
27;AL;1992;0.47
42;SC;1992;0.3
28;SE;1992;0.59
35;SP;1992;0.32
17;TO;1992;0.21
13;AM;1992;0.51
12;AC;1992;0.47
14;RR;1993;0.41
12;AC;1993;1.14
27;AL;1993;0.31
13;AM;1993;0.36
16;AP;1993;0.65
29;BA;1993;0.15
23;CE;1993;0.32
53;DF;1993;1.43
32;ES;1993;0.33
52;GO;1993;0.91
21;MA;1993;0.04
31;MG;1993;0.38
50;MS;1993;1.24
51;MT;1993;0.46
15;PA;1993;0.23
25;PB;1993;0.06
26;PE;1993;0.33
22;PI;1993;0.15
41;PR;1993;0.62
33;RJ;1993;0.11
24;RN;1993;0.32
11;RO;1993;0.32
43;RS;1993;0.73
42;SC;1993;0.43
28;SE;1993;0.13
35;SP;1993;0.35
17;TO;1993;0.21
22;PI;1994;0.11
12;AC;1994;0.67
27;AL;1994;0.45
13;AM;1994;0.57
16;AP;1994;0
29;BA;1994;0.11
23;CE;1994;0.26
53;DF;1994;1.47
32;ES;1994;0.33
52;GO;1994;0.59
21;MA;1994;0.02
31;MG;1994;0.36
50;MS;1994;1.28
51;MT;1994;0.36
15;PA;1994;0.17
25;PB;1994;0.18
26;PE;1994;0.43
41;PR;1994;0.66
33;RJ;1994;0.15
24;RN;1994;0.2
11;RO;1994;0.31
14;RR;1994;0
43;RS;1994;1.01
42;SC;1994;0.65
28;SE;1994;0.25
35;SP;1994;0.37
17;TO;1994;0.3
31;MG;1995;0.38
27;AL;1995;0.22
13;AM;1995;0.52
16;AP;1995;0.31
17;TO;1995;0.4
29;BA;1995;0.07
23;CE;1995;0.25
53;DF;1995;1.78
32;ES;1995;0.39
52;GO;1995;1.09
50;MS;1995;1.41
51;MT;1995;0.48
15;PA;1995;0.22
25;PB;1995;0.21
26;PE;1995;0.64
22;PI;1995;0.18
41;PR;1995;0.76
33;RJ;1995;0.19
24;RN;1995;0.27
21;MA;1995;0.08
35;SP;1995;0.37
28;SE;1995;0.19
42;SC;1995;0.79
43;RS;1995;1.12
14;RR;1995;1.14
11;RO;1995;0.15
12;AC;1995;0.44
22;PI;1996;0.22
17;TO;1996;0.1
35;SP;1996;0.37
28;SE;1996;0.06
42;SC;1996;0.55
43;RS;1996;1.12
14;RR;1996;0.81
11;RO;1996;0.08
13;AM;1996;0.33
24;RN;1996;0.08
16;AP;1996;0.26
29;BA;1996;0.06
23;CE;1996;0.31
53;DF;1996;1.21
32;ES;1996;0.39
33;RJ;1996;0.12
52;GO;1996;0.69
27;AL;1996;0.23
12;AC;1996;0.21
21;MA;1996;0.04
31;MG;1996;0.42
50;MS;1996;0.93
51;MT;1996;0.85
15;PA;1996;0.18
25;PB;1996;0
26;PE;1996;0.53
41;PR;1996;0.88
33;RJ;1997;0.19
41;PR;1997;0.74
22;PI;1997;0.22
26;PE;1997;0.6
25;PB;1997;0.06
15;PA;1997;0.3
51;MT;1997;0.44
50;MS;1997;0.71
52;GO;1997;0.78
32;ES;1997;0.39
53;DF;1997;1.39
23;CE;1997;0.22
29;BA;1997;0.13
16;AP;1997;0
13;AM;1997;0.37
27;AL;1997;0.15
12;AC;1997;0.4
31;MG;1997;0.39
21;MA;1997;0.06
24;RN;1997;0.23
11;RO;1997;0.32
14;RR;1997;0.79
43;RS;1997;0.96
42;SC;1997;0.38
28;SE;1997;0
35;SP;1997;0.32
17;TO;1997;0.19
32;ES;1998;0.24
53;DF;1998;0.78
23;CE;1998;0.21
29;BA;1998;0.12
16;AP;1998;0.48
31;MG;1998;0.31
50;MS;1998;0.55
51;MT;1998;0.43
15;PA;1998;0.24
25;PB;1998;0.18
26;PE;1998;0.31
22;PI;1998;0.22
41;PR;1998;0.71
33;RJ;1998;0.1
24;RN;1998;0.11
11;RO;1998;0.55
14;RR;1998;1.15
43;RS;1998;1.07
42;SC;1998;0.46
28;SE;1998;0.06
35;SP;1998;0.29
13;AM;1998;0.24
27;AL;1998;0.19
12;AC;1998;0.39
17;TO;1998;0.36
52;GO;1998;0.4
21;MA;1998;0.11
29;BA;1999;0.09
17;TO;1999;0.26
35;SP;1999;0.23
28;SE;1999;0.18
42;SC;1999;0.53
43;RS;1999;1.16
14;RR;1999;1.12
11;RO;1999;0.31
12;AC;1999;0
27;AL;1999;0.15
13;AM;1999;0.19
16;AP;1999;0
23;CE;1999;0.24
53;DF;1999;0.3
32;ES;1999;0.41
52;GO;1999;0.58
21;MA;1999;0.15
31;MG;1999;0.16
50;MS;1999;0.69
51;MT;1999;0.46
15;PA;1999;0.15
25;PB;1999;0.12
26;PE;1999;0.41
22;PI;1999;0.11
41;PR;1999;0.63
33;RJ;1999;0.12
24;RN;1999;0.23
26;PE;2000;1.06
25;PB;2000;0.1
15;PA;2000;0.58
32;ES;2000;0.44
53;DF;2000;1.77
23;CE;2000;0.57
29;BA;2000;0.17
24;RN;2000;0.5
14;RR;2000;1
43;RS;2000;3.48
42;SC;2000;1.82
28;SE;2000;0.93
35;SP;2000;0.77
17;TO;2000;1.44
27;AL;2000;0.24
13;AM;2000;0.11
16;AP;2000;0.65
52;GO;2000;2.41
12;AC;2000;1.71
21;MA;2000;0.18
31;MG;2000;0.89
50;MS;2000;4.01
33;RJ;2000;0.49
41;PR;2000;2.38
22;PI;2000;0.24
