cod;nome;período;valor
1076;BRA;1989;1.1
1076;BRA;1990;1.15
1076;BRA;1991;1.18
1076;BRA;1992;1.2
1076;BRA;1993;1.34
1076;BRA;1994;1.4
1076;BRA;1995;1.47
1076;BRA;1996;1.49
1076;BRA;1997;1.39
1076;BRA;1998;1.41
1076;BRA;1999;1.3
1076;BRA;2000;4.38
1076;BRA;2001;5.12
1076;BRA;2002;5.01
1076;BRA;2003;5.15
1076;BRA;2004;5.05
1076;BRA;2005;5.03
1076;BRA;2006;5.14
1076;BRA;2007;5.25
1076;BRA;2008;5.48
1076;BRA;2009;5.3
1076;BRA;2010;5.38
1076;BRA;2011;5.66
1076;BRA;2012;5.58
1076;BRA;2013;5.55
1076;BRA;2014;5.62
1076;BRA;2015;5.72
1076;BRA;2016;5.76
1076;BRA;2017;6.37
1076;BRA;2018;6.65
1076;BRA;2019;7.58
1076;BRA;2020;7.54
1076;BRA;2021;8.57
1076;BRA;2022;9.08
