cod;nome;período;valor
3;SE;1989;0.03
1;N;1989;0.04
5;CO;1989;0.1
2;NE;1989;0.04
4;S;1989;0.04
4;S;1990;0.03
5;CO;1990;0.07
1;N;1990;0.02
2;NE;1990;0.03
3;SE;1990;0.03
4;S;1991;0.03
5;CO;1991;0.09
1;N;1991;0.03
2;NE;1991;0.04
3;SE;1991;0.03
1;N;1992;0.03
5;CO;1992;0.1
2;NE;1992;0.03
4;S;1992;0.03
3;SE;1992;0.03
3;SE;1993;0.03
5;CO;1993;0.12
1;N;1993;0.03
2;NE;1993;0.04
4;S;1993;0.03
4;S;1994;0.04
5;CO;1994;0.12
1;N;1994;0.03
2;NE;1994;0.04
3;SE;1994;0.03
2;NE;1995;0.05
5;CO;1995;0.14
3;SE;1995;0.03
1;N;1995;0.03
4;S;1995;0.04
2;NE;1996;0.04
3;SE;1996;0.04
4;S;1996;0.04
1;N;1996;0.04
5;CO;1996;0.12
3;SE;1997;0.03
5;CO;1997;0.11
1;N;1997;0.04
2;NE;1997;0.04
4;S;1997;0.04
4;S;1998;0.04
5;CO;1998;0.1
1;N;1998;0.05
2;NE;1998;0.04
3;SE;1998;0.03
4;S;1999;0.04
5;CO;1999;0.11
1;N;1999;0.03
2;NE;1999;0.05
3;SE;1999;0.03
4;S;2000;8.01
2;NE;2000;2.8
1;N;2000;4.71
3;SE;2000;3.56
5;CO;2000;8.15
4;S;2001;8.5
5;CO;2001;7.55
3;SE;2001;4.59
2;NE;2001;3.57
1;N;2001;5.52
2;NE;2002;3.82
1;N;2002;4.73
5;CO;2002;7.61
4;S;2002;7.68
3;SE;2002;4.57
5;CO;2003;7.73
1;N;2003;4.79
2;NE;2003;4.16
3;SE;2003;4.55
4;S;2003;7.93
4;S;2004;8.34
5;CO;2004;8.07
3;SE;2004;4.36
2;NE;2004;3.72
1;N;2004;5.14
2;NE;2005;4.14
3;SE;2005;4.16
4;S;2005;8.5
5;CO;2005;7.36
1;N;2005;4.8
1;N;2006;4.61
3;SE;2006;4.67
4;S;2006;7.59
2;NE;2006;4.4
5;CO;2006;6.84
5;CO;2007;6.97
4;S;2007;7.47
3;SE;2007;4.37
2;NE;2007;4.9
1;N;2007;5.6
1;N;2008;6.66
2;NE;2008;4.64
3;SE;2008;4.46
4;S;2008;8.29
5;CO;2008;7.78
2;NE;2009;4.42
5;CO;2009;7.1
4;S;2009;7.48
3;SE;2009;4.71
1;N;2009;6.02
5;CO;2010;6.74
4;S;2010;6.99
3;SE;2010;4.97
2;NE;2010;4.7
1;N;2010;5.82
1;N;2011;6.26
5;CO;2011;6.56
4;S;2011;6.77
3;SE;2011;5.38
2;NE;2011;5.1
5;CO;2012;7.47
4;S;2012;7.08
3;SE;2012;5.11
2;NE;2012;4.68
1;N;2012;6.6
5;CO;2013;7.61
4;S;2013;6.87
3;SE;2013;4.86
2;NE;2013;4.8
1;N;2013;7.11
5;CO;2014;7.56
4;S;2014;7.79
3;SE;2014;4.89
2;NE;2014;4.66
1;N;2014;6.82
1;N;2015;7.75
3;SE;2015;5.19
4;S;2015;6.82
5;CO;2015;7.25
2;NE;2015;4.81
4;S;2016;6.96
5;CO;2016;8.21
3;SE;2016;4.98
2;NE;2016;5.2
1;N;2016;6.92
5;CO;2017;8.61
1;N;2017;7.45
2;NE;2017;5.59
3;SE;2017;5.44
4;S;2017;8.66
5;CO;2018;9.43
1;N;2018;9.17
2;NE;2018;5.52
3;SE;2018;5.58
4;S;2018;8.6
1;N;2019;9.18
4;S;2019;10.6
5;CO;2019;10.08
3;SE;2019;6.64
2;NE;2019;6.14
4;S;2020;10.81
5;CO;2020;11.15
1;N;2020;9.25
2;NE;2020;6.01
3;SE;2020;6.37
4;S;2021;11.74
5;CO;2021;11.65
1;N;2021;10.76
2;NE;2021;7.26
3;SE;2021;7.28
1;N;2022;11.25
4;S;2022;11.92
5;CO;2022;12.91
3;SE;2022;7.84
2;NE;2022;7.55
