cod;nome;período;valor
35;SP;1989;1.39
24;RN;1989;0.95
12;AC;1989;3.03
27;AL;1989;0.95
13;AM;1989;1.01
16;AP;1989;1.49
29;BA;1989;0.48
23;CE;1989;0.57
53;DF;1989;2.1
32;ES;1989;1
52;GO;1989;1.56
21;MA;1989;0.19
31;MG;1989;1.1
50;MS;1989;1.76
51;MT;1989;1.13
15;PA;1989;0.88
25;PB;1989;0.64
11;RO;1989;2.27
26;PE;1989;0.42
22;PI;1989;0.64
41;PR;1989;1.87
33;RJ;1989;0.56
14;RR;1989;0.52
43;RS;1989;2.13
42;SC;1989;1.6
28;SE;1989;0.14
17;TO;1989;0.56
16;AP;1990;0.36
12;AC;1990;0.74
27;AL;1990;0.41
13;AM;1990;0.49
29;BA;1990;0.27
23;CE;1990;0.72
53;DF;1990;2.82
32;ES;1990;1.14
52;GO;1990;0.87
21;MA;1990;0.21
31;MG;1990;1.16
50;MS;1990;1.9
51;MT;1990;0.93
33;RJ;1990;0.59
24;RN;1990;1.01
11;RO;1990;2.43
14;RR;1990;0.98
43;RS;1990;2.02
42;SC;1990;2.22
28;SE;1990;0.34
15;PA;1990;0.88
25;PB;1990;0.73
26;PE;1990;1
22;PI;1990;0.28
41;PR;1990;1.85
35;SP;1990;1.62
17;TO;1990;0.55
51;MT;1991;0.84
17;TO;1991;0.33
35;SP;1991;1.5
28;SE;1991;1.14
42;SC;1991;1.83
43;RS;1991;2.12
14;RR;1991;3.22
11;RO;1991;2.12
24;RN;1991;0.91
33;RJ;1991;0.37
41;PR;1991;1.92
22;PI;1991;0.27
26;PE;1991;1.02
25;PB;1991;0.69
15;PA;1991;1.03
12;AC;1991;2.15
27;AL;1991;0.72
13;AM;1991;1
16;AP;1991;2.07
29;BA;1991;0.31
23;CE;1991;0.79
53;DF;1991;2.5
32;ES;1991;1.5
52;GO;1991;2.02
21;MA;1991;0.37
31;MG;1991;1.18
50;MS;1991;1.24
22;PI;1992;0.38
12;AC;1992;0.93
