cod;nome;período;valor
1076;BRA;1989;0.76
1076;BRA;1990;0.85
1076;BRA;1991;0.82
1076;BRA;1992;0.79
1076;BRA;1993;0.79
1076;BRA;1994;0.85
1076;BRA;1995;0.9
1076;BRA;1996;0.9
1076;BRA;1997;0.89
1076;BRA;1998;0.9
1076;BRA;1999;0.75
1076;BRA;2000;1.58
1076;BRA;2001;1.76
1076;BRA;2002;1.89
1076;BRA;2003;1.76
1076;BRA;2004;1.85
1076;BRA;2005;1.93
1076;BRA;2006;1.91
1076;BRA;2007;1.96
1076;BRA;2008;2.02
1076;BRA;2009;1.91
1076;BRA;2010;2.1
1076;BRA;2011;2.09
1076;BRA;2012;2.24
1076;BRA;2013;2.19
1076;BRA;2014;2.18
1076;BRA;2015;2.32
1076;BRA;2016;2.28
1076;BRA;2017;2.53
1076;BRA;2018;2.57
1076;BRA;2019;2.73
1076;BRA;2020;2.73
1076;BRA;2021;3.14
1076;BRA;2022;3.24
