cod;nome;período;valor
5;CO;1989;0.06
3;SE;1989;0.02
4;S;1989;0.03
2;NE;1989;0.02
1;N;1989;0.02
2;NE;1990;0.02
5;CO;1990;0.04
1;N;1990;0.01
3;SE;1990;0.02
4;S;1990;0.03
5;CO;1991;0.05
4;S;1991;0.03
3;SE;1991;0.02
2;NE;1991;0.03
1;N;1991;0.01
3;SE;1992;0.02
5;CO;1992;0.05
1;N;1992;0.02
2;NE;1992;0.02
4;S;1992;0.03
4;S;1993;0.02
2;NE;1993;0.02
1;N;1993;0.01
5;CO;1993;0.06
3;SE;1993;0.02
5;CO;1994;0.07
1;N;1994;0.01
4;S;1994;0.03
3;SE;1994;0.02
2;NE;1994;0.03
3;SE;1995;0.02
2;NE;1995;0.03
5;CO;1995;0.08
1;N;1995;0.01
4;S;1995;0.03
5;CO;1996;0.06
2;NE;1996;0.03
3;SE;1996;0.02
4;S;1996;0.03
1;N;1996;0.02
1;N;1997;0.02
3;SE;1997;0.02
4;S;1997;0.03
2;NE;1997;0.03
5;CO;1997;0.07
2;NE;1998;0.03
5;CO;1998;0.06
1;N;1998;0.03
3;SE;1998;0.02
4;S;1998;0.03
3;SE;1999;0.02
5;CO;1999;0.07
1;N;1999;0.01
2;NE;1999;0.03
4;S;1999;0.03
2;NE;2000;1.06
1;N;2000;1.3
5;CO;2000;2.66
4;S;2000;2.98
3;SE;2000;1.33
2;NE;2001;1.21
3;SE;2001;1.63
5;CO;2001;2.59
1;N;2001;1.6
4;S;2001;2.91
1;N;2002;1.59
4;S;2002;3.01
2;NE;2002;1.47
5;CO;2002;2.99
3;SE;2002;1.65
2;NE;2003;1.5
4;S;2003;2.77
5;CO;2003;2.4
3;SE;2003;1.56
1;N;2003;1.35
2;NE;2004;1.39
4;S;2004;3.19
5;CO;2004;3.14
1;N;2004;1.34
3;SE;2004;1.58
2;NE;2005;1.61
4;S;2005;2.96
5;CO;2005;2.83
1;N;2005;1.48
3;SE;2005;1.73
2;NE;2006;1.52
3;SE;2006;1.79
5;CO;2006;2.45
1;N;2006;1.41
4;S;2006;3.02
5;CO;2007;2.31
1;N;2007;1.37
2;NE;2007;1.66
4;S;2007;3.22
3;SE;2007;1.77
5;CO;2008;2.39
1;N;2008;1.38
2;NE;2008;1.77
3;SE;2008;1.8
4;S;2008;3.3
4;S;2009;2.79
1;N;2009;1.41
2;NE;2009;1.56
3;SE;2009;1.84
5;CO;2009;2.53
4;S;2010;3.11
1;N;2010;1.7
2;NE;2010;1.71
3;SE;2010;2.01
5;CO;2010;2.59
3;SE;2011;2.01
1;N;2011;1.96
2;NE;2011;1.66
4;S;2011;3.17
5;CO;2011;2.25
1;N;2012;1.46
4;S;2012;3.55
2;NE;2012;1.73
3;SE;2012;2.2
5;CO;2012;2.73
3;SE;2013;2.04
5;CO;2013;2.79
4;S;2013;3.42
2;NE;2013;1.74
1;N;2013;1.75
2;NE;2014;1.71
3;SE;2014;2.09
1;N;2014;1.71
4;S;2014;3.38
5;CO;2014;2.63
1;N;2015;2.03
2;NE;2015;1.86
3;SE;2015;2.19
4;S;2015;3.56
5;CO;2015;2.66
1;N;2016;2.07
2;NE;2016;1.87
3;SE;2016;2.08
4;S;2016;3.54
5;CO;2016;2.7
1;N;2017;2.28
2;NE;2017;2.02
3;SE;2017;2.27
4;S;2017;4.08
5;CO;2017;3.25
3;SE;2018;2.31
1;N;2018;2.52
2;NE;2018;2.02
4;S;2018;3.96
5;CO;2018;3.52
1;N;2019;2.54
3;SE;2019;2.5
4;S;2019;4.3
5;CO;2019;3.68
2;NE;2019;2.08
5;CO;2020;3.34
1;N;2020;2.55
2;NE;2020;2.16
4;S;2020;4.13
3;SE;2020;2.56
4;S;2021;4.68
3;SE;2021;2.91
2;NE;2021;2.55
1;N;2021;2.84
5;CO;2021;3.98
5;CO;2022;4.46
2;NE;2022;3.24
1;N;2022;2.67
3;SE;2022;4.74
4;S;2022;2.89
