cod;nome;período;valor
17;TO;1989;0.23
27;AL;1989;0.33
13;AM;1989;0.25
16;AP;1989;0.37
29;BA;1989;0.3
23;CE;1989;0.34
53;DF;1989;0.92
32;ES;1989;0.68
52;GO;1989;0.96
21;MA;1989;0.15
31;MG;1989;0.67
50;MS;1989;1.06
51;MT;1989;0.7
15;PA;1989;0.47
25;PB;1989;0.58
26;PE;1989;0.23
22;PI;1989;0.4
41;PR;1989;1.39
33;RJ;1989;0.54
24;RN;1989;0.6
11;RO;1989;1.58
14;RR;1989;0
43;RS;1989;1.78
42;SC;1989;1.39
28;SE;1989;0.14
35;SP;1989;0.95
12;AC;1989;1.26
23;CE;1990;0.38
17;TO;1990;0.22
35;SP;1990;1.05
28;SE;1990;0.14
42;SC;1990;1.86
43;RS;1990;2
14;RR;1990;0
11;RO;1990;1.4
24;RN;1990;0.8
33;RJ;1990;0.66
41;PR;1990;1.57
22;PI;1990;0.39
26;PE;1990;0.78
25;PB;1990;0.57
15;PA;1990;0.42
51;MT;1990;0.52
50;MS;1990;1.26
31;MG;1990;0.76
21;MA;1990;0.12
52;GO;1990;0.79
32;ES;1990;0.71
53;DF;1990;0.96
29;BA;1990;0.2
16;AP;1990;0
13;AM;1990;0.2
27;AL;1990;0.2
12;AC;1990;1.23
35;SP;1991;0.91
12;AC;1991;0
17;TO;1991;0.22
13;AM;1991;0.29
16;AP;1991;1.73
29;BA;1991;0.14
23;CE;1991;0.52
53;DF;1991;1.69
32;ES;1991;0.92
52;GO;1991;1.05
21;MA;1991;0.2
31;MG;1991;0.69
50;MS;1991;0.79
51;MT;1991;0.44
15;PA;1991;0.48
25;PB;1991;0.62
26;PE;1991;0.95
22;PI;1991;0.15
41;PR;1991;1.54
33;RJ;1991;0.45
24;RN;1991;0.7
11;RO;1991;1.15
14;RR;1991;1.84
27;AL;1991;0.48
43;RS;1991;2.1
42;SC;1991;1.41
28;SE;1991;0.74
15;PA;1992;0.61
12;AC;1992;0
27;AL;1992;0.63
13;AM;1992;0.46
16;AP;1992;0.33
29;BA;1992;0.13
23;CE;1992;0.39
53;DF;1992;1.22
32;ES;1992;0.53
52;GO;1992;1.1
21;MA;1992;0.12
31;MG;1992;0.63
50;MS;1992;1.16
51;MT;1992;0.63
25;PB;1992;0.25
26;PE;1992;0.65
22;PI;1992;0.35
41;PR;1992;1.59
33;RJ;1992;0.36
24;RN;1992;0.61
11;RO;1992;1.83
14;RR;1992;1.79
43;RS;1992;1.76
42;SC;1992;1.35
28;SE;1992;1.19
35;SP;1992;1.02
17;TO;1992;0.53
17;TO;1993;0.21
35;SP;1993;1.03
28;SE;1993;0.52
42;SC;1993;1.06
43;RS;1993;1.56
14;RR;1993;1.24
11;RO;1993;0.97
24;RN;1993;0.44
33;RJ;1993;0.52
41;PR;1993;1.22
22;PI;1993;0.53
27;AL;1993;0.46
26;PE;1993;0.92
13;AM;1993;0.59
16;AP;1993;0.65
29;BA;1993;0.16
23;CE;1993;0.56
53;DF;1993;1.26
32;ES;1993;0.82
52;GO;1993;1.13
21;MA;1993;0.18
31;MG;1993;0.72
50;MS;1993;1.41
51;MT;1993;0.6
15;PA;1993;0.42
12;AC;1993;0.69
25;PB;1993;0.24
27;AL;1994;0.83
14;RR;1994;0.79
11;RO;1994;0.93
24;RN;1994;0.79
33;RJ;1994;0.52
41;PR;1994;1.43
22;PI;1994;0.37
26;PE;1994;0.77
25;PB;1994;0.54
28;SE;1994;0.25
42;SC;1994;1.28
43;RS;1994;1.74
17;TO;1994;0.4
35;SP;1994;0.98
15;PA;1994;0.41
51;MT;1994;0.62
50;MS;1994;2.07
31;MG;1994;0.8
21;MA;1994;0.14
52;GO;1994;1.18
32;ES;1994;0.84
53;DF;1994;1.82
23;CE;1994;0.6
29;BA;1994;0.26
16;AP;1994;0.94
13;AM;1994;0.53
12;AC;1994;0.22
51;MT;1995;1.12
17;TO;1995;0.5
35;SP;1995;1.01
28;SE;1995;0.31
42;SC;1995;1.36
43;RS;1995;2.12
14;RR;1995;0.38
11;RO;1995;0.97
24;RN;1995;0.58
33;RJ;1995;0.77
41;PR;1995;1.17
22;PI;1995;0.4
26;PE;1995;1.13
25;PB;1995;0.57
15;PA;1995;0.37
50;MS;1995;1.83
31;MG;1995;0.88
21;MA;1995;0.23
52;GO;1995;1.51
32;ES;1995;0.9
53;DF;1995;1.21
23;CE;1995;0.37
29;BA;1995;0.29
16;AP;1995;0.61
13;AM;1995;0.56
27;AL;1995;0.48
12;AC;1995;0.22
27;AL;1996;0.23
35;SP;1996;1.04
17;TO;1996;0.76
28;SE;1996;0.12
42;SC;1996;1.13
12;AC;1996;1.03
43;RS;1996;2.24
14;RR;1996;2.02
11;RO;1996;0.57
24;RN;1996;0.98
33;RJ;1996;0.72
41;PR;1996;1.45
22;PI;1996;0.49
26;PE;1996;0.95
25;PB;1996;0.24
15;PA;1996;0.89
51;MT;1996;1.3
50;MS;1996;1.45
31;MG;1996;0.64
21;MA;1996;0.15
52;GO;1996;0.95
32;ES;1996;0.89
53;DF;1996;1.26
23;CE;1996;0.72
29;BA;1996;0.2
