cod;nome;período;valor
1100015;"Alta Floresta D'Oeste";1989;3.77
1100023;Ariquemes;1989;5.49
5222302;"Vila Propício";2000;0
5222203;"Vila Boa";2000;0
5222054;Vicentinópolis;2000;0
5222005;Vianópolis;2000;8.61
5221908;Varjão;2000;0
5221858;"Valparaíso de Goiás";2000;3.08
5221809;Urutaí;2000;0
5221700;Uruana;2000;6.98
5221601;Uruaçu;2000;0
5221577;Uirapuru;2000;0
5221551;Turvelândia;2000;27.62
5221502;Turvânia;2000;0
5221452;Trombas;2000;0
5221403;Trindade;2000;5.97
5221304;"Três Ranchos";2000;34.38
5221197;"Terezópolis de Goiás";2000;0
5221080;"Teresina de Goiás";2000;0
5221007;"Taquaral de Goiás";2000;0
5220702;"Sítio d'Abadia";2000;0
5220686;Simolândia;2000;15.65
5220603;Silvânia;2000;9.57
5220504;Serranópolis;2000;0
5220454;"Senador Canedo";2000;1.83
5220405;"São Simão";2000;7.18
5220280;"São Patrício";2000;53.05
5220264;"São Miguel do Passa Quatro";2000;0
5220207;"São Miguel do Araguaia";2000;12.81
5220157;"São Luíz do Norte";2000;47.6
5220108;"São Luís de Montes Belos";2000;0
5220058;"São João da Paraúna";2000;0
5220009;"São João d'Aliança";2000;14.45
5219902;"São Francisco de Goiás";2000;16.14
5219803;"São Domingos";2000;0
5219753;"Santo Antônio do Descoberto";2000;1.88
5219738;"Santo Antônio de Goiás";2000;0
5219712;"Santo Antônio da Barra";2000;0
5219704;"Santa Terezinha de Goiás";2000;0
5219605;"Santa Tereza de Goiás";2000;0
5219506;"Santa Rosa de Goiás";2000;27.43
5219456;"Santa Rita do Novo Destino";2000;32.16
5219407;"Santa Rita do Araguaia";2000;19.13
5219357;"Santa Isabel";2000;0
5219308;"Santa Helena de Goiás";2000;2.82
5219258;"Santa Fé de Goiás";2000;0
5219209;"Santa Cruz de Goiás";2000;0
5219100;"Santa Bárbara de Goiás";2000;19.61
5219001;Sanclerlândia;2000;0
5218904;Rubiataba;2000;16.14
5218805;"Rio Verde";2000;3.34
5218789;"Rio Quente";2000;0
5218706;Rianápolis;2000;0
5218607;Rialma;2000;0
5218508;Quirinópolis;2000;2.67
5218391;"Professor Jamil";2000;0
5218300;Posse;2000;3.81
5218102;Portelândia;2000;0
5218052;Porteirão;2000;0
5218003;Porangatu;2000;2.46
5217708;Pontalina;2000;17.63
5217609;Planaltina;2000;7.92
5217401;"Pires do Rio";2000;3.71
5217302;Pirenópolis;2000;4.58
5217203;Piranhas;2000;23.76
5217104;Piracanjuba;2000;8.26
5216908;"Pilar de Goiás";2000;0
5216809;"Petrolina de Goiás";2000;0
5216452;Perolândia;2000;69.74
5216403;Paraúna;2000;44.91
5216304;Paranaiguara;2000;11.88
5216007;Panamá;2000;0
5215900;Palminópolis;2000;27.33
5215801;Palmelo;2000;0
5215702;"Palmeiras de Goiás";2000;0
5215652;"Palestina de Goiás";2000;0
5215603;"Padre Bernardo";2000;0
5215504;Ouvidor;2000;0
5215405;"Ouro Verde de Goiás";2000;0
5215306;Orizona;2000;14.89
5215256;"Novo Planalto";2000;28.35
5215231;"Novo Gama";2000;1.31
5215207;"Novo Brasil";2000;23.28
5215009;"Nova Veneza";2000;0
5214903;"Nova Roma";2000;0
5214879;"Nova Iguaçu de Goiás";2000;0
5214861;"Nova Glória";2000;0
5214838;"Nova Crixás";2000;0
5214804;"Nova Aurora";2000;0
5214705;"Nova América";2000;0
5214606;Niquelândia;2000;0
5214507;Nerópolis;2000;5.24
5214408;Nazário;2000;14.68
5214101;Mutunópolis;2000;0
5214051;"Mundo Novo";2000;0
5214002;Mozarlândia;2000;8.7
5213905;Mossâmedes;2000;16.78
5213855;"Morro Agudo de Goiás";2000;0
5213806;Morrinhos;2000;7.89
5213772;"Montividiu do Norte";2000;0
5213756;Montividiu;2000;12.58
5213707;"Montes Claros de Goiás";2000;24.35
5213509;"Monte Alegre de Goiás";2000;14.12
5213400;Moiporá;2000;0
5213103;Mineiros;2000;19.95
5213087;Minaçu;2000;14.48
5213053;"Mimoso de Goiás";2000;0
5213004;Maurilândia;2000;0
5212956;Matrinchã;2000;0
5212907;Marzagão;2000;0
5212808;"Mara Rosa";2000;16.3
5212709;Mambaí;2000;0
5212600;Mairipotaba;2000;0
5212501;Luziânia;2000;4.14
5212303;"Leopoldo de Bulhões";2000;0
5212253;"Lagoa Santa";2000;0
5212204;Jussara;2000;4.86
5212105;Joviânia;2000;0
5212055;Jesúpolis;2000;0
5212006;Jaupaci;2000;61.71
5211909;Jataí;2000;5.16
5211800;Jaraguá;2000;8.77
5211701;Jandaia;2000;0
5211602;Ivolândia;2000;0
5211503;Itumbiara;2000;5.98
5211404;Itauçu;2000;0
5211305;Itarumã;2000;17.87
5211206;Itapuranga;2000;3.64
5211008;Itapirapuã;2000;0
5210901;Itapaci;2000;6.99
5210802;Itajá;2000;29.62
5210604;Itaguaru;2000;0
5210562;Itaguari;2000;0
5210406;Itaberaí;2000;13.96
5210307;Israelândia;2000;0
5210208;Iporá;2000;3.11
5210158;"Ipiranga de Goiás";2000;0
5210109;Ipameri;2000;17.2
5210000;Inhumas;2000;11.08
5209952;Indiara;2000;8.24
5209937;Inaciolândia;2000;0
5209903;Iaciara;2000;0
5209804;Hidrolina;2000;0
5209705;Hidrolândia;2000;22.31
5209606;Heitoraí;2000;28.25
5209457;Guarinos;2000;0
5209408;"Guarani de Goiás";2000;0
5209291;Guaraíta;2000;0
5209200;Guapó;2000;14.04
5209150;Gouvelândia;2000;0
5209101;Goiatuba;2000;6.25
5208905;Goiás;2000;3.59
5208806;Goianira;2000;0
5208707;Goiânia;2000;6.51
5208608;Goianésia;2000;5.94
5208509;Goiandira;2000;0
5208400;Goianápolis;2000;27.36
5208301;"Divinópolis de Goiás";2000;0
5208152;"Gameleira de Goiás";2000;0
5208103;Formoso;2000;17.41
5208004;Formosa;2000;4.95
5207907;"Flores de Goiás";2000;25.9
5207808;Firminópolis;2000;19.64
5207600;"Fazenda Nova";2000;0
5207535;Faina;2000;0
5207501;"Estrela do Norte";2000;0
5207402;Edéia;2000;19.04
5207352;Edealina;2000;25.59
5207253;Doverlândia;2000;0
5207105;Diorama;2000;0
5206909;Davinópolis;2000;0
5206800;Damolândia;2000;0
5206701;Damianópolis;2000;0
5206602;Cumari;2000;31.34
5206503;Cromínia;2000;0
5206404;Crixás;2000;6.63
5206305;Cristianópolis;2000;33.28
5206206;Cristalina;2000;14.26
5205901;Corumbaíba;2000;43.87
5205802;"Corumbá de Goiás";2000;10.05
5205703;"Córrego do Ouro";2000;0
5205521;"Colinas do Sul";2000;0
5205513;"Cocalzinho de Goiás";2000;0
5205497;"Cidade Ocidental";2000;4.82
5205471;"Chapadão do Céu";2000;0
5205455;Cezarina;2000;0
5205406;Ceres;2000;4.38
