cod;nome;período;valor
3;SE;1980;3.76
1;N;1980;2.19
5;CO;1980;2.94
2;NE;1980;1.26
4;S;1980;6.08
4;S;1981;6.26
5;CO;1981;3.32
1;N;1981;1.74
2;NE;1981;1.44
3;SE;1981;3.78
4;S;1982;6.27
5;CO;1982;3.32
1;N;1982;1.7
2;NE;1982;1.42
3;SE;1982;3.37
4;S;1983;7.5
5;CO;1983;3.46
1;N;1983;2.09
2;NE;1983;1.37
3;SE;1983;3.97
3;SE;1984;3.73
5;CO;1984;3.41
1;N;1984;1.66
2;NE;1984;1.28
4;S;1984;7.33
3;SE;1985;3.43
5;CO;1985;3.42
1;N;1985;1.67
2;NE;1985;1.27
4;S;1985;6.88
4;S;1986;6.81
5;CO;1986;3.28
1;N;1986;1.79
2;NE;1986;1.23
3;SE;1986;3.45
4;S;1987;6.52
5;CO;1987;4.3
1;N;1987;2.19
2;NE;1987;1.34
3;SE;1987;3.8
4;S;1988;6.74
5;CO;1988;4
1;N;1988;2.11
2;NE;1988;1.38
3;SE;1988;3.27
4;S;1989;6.54
5;CO;1989;3.9
1;N;1989;2.33
2;NE;1989;1.31
3;SE;1989;3.24
1;N;1990;2.02
5;CO;1990;3.31
2;NE;1990;1.54
4;S;1990;6.82
3;SE;1990;3.58
3;SE;1991;3.47
5;CO;1991;4.2
1;N;1991;2.46
2;NE;1991;1.79
4;S;1991;7.21
4;S;1992;7.19
5;CO;1992;4.41
1;N;1992;2.4
2;NE;1992;1.69
3;SE;1992;3.55
4;S;1993;6.66
5;CO;1993;4.92
1;N;1993;2.4
2;NE;1993;1.93
3;SE;1993;3.8
4;S;1994;7.28
5;CO;1994;5.04
1;N;1994;2.22
2;NE;1994;2.08
3;SE;1994;3.95
3;SE;1995;4.19
5;CO;1995;6.17
1;N;1995;2.41
2;NE;1995;2.25
4;S;1995;8.2
3;SE;1996;4.2
5;CO;1996;5.71
1;N;1996;3.01
2;NE;1996;2.33
4;S;1996;8.24
4;S;1997;8.42
5;CO;1997;5.55
1;N;1997;2.64
2;NE;1997;2.36
3;SE;1997;4.31
4;S;1998;8.9
5;CO;1998;4.86
1;N;1998;3.42
2;NE;1998;2.3
3;SE;1998;4.12
4;S;1999;8.48
5;CO;1999;5.43
1;N;1999;2.38
2;NE;1999;2.36
3;SE;1999;3.52
2;NE;2000;2.37
5;CO;2000;6.25
3;SE;2000;3.47
1;N;2000;2.88
4;S;2000;8.1
2;NE;2001;2.96
3;SE;2001;4.09
4;S;2001;8.49
1;N;2001;3.31
5;CO;2001;5.82
3;SE;2002;3.95
5;CO;2002;6.54
1;N;2002;2.91
2;NE;2002;3.16
4;S;2002;7.95
4;S;2003;7.81
5;CO;2003;6.19
1;N;2003;3.17
2;NE;2003;3.28
3;SE;2003;3.98
4;S;2004;8.07
5;CO;2004;6.13
1;N;2004;3.1
2;NE;2004;3.27
3;SE;2004;3.85
4;S;2005;8.14
5;CO;2005;5.92
1;N;2005;3.23
2;NE;2005;3.71
3;SE;2005;4.09
3;SE;2006;4.15
5;CO;2006;5.75
1;N;2006;3.18
2;NE;2006;3.79
4;S;2006;7.8
3;SE;2007;4.14
5;CO;2007;5.64
1;N;2007;3.7
2;NE;2007;4.2
4;S;2007;8.17
4;S;2008;8.16
5;CO;2008;6.25
1;N;2008;4.09
2;NE;2008;4.14
3;SE;2008;4.24
4;S;2009;8.22
5;CO;2009;5.98
1;N;2009;3.85
2;NE;2009;3.92
3;SE;2009;4.41
4;S;2010;7.86
5;CO;2010;5.77
1;N;2010;3.93
2;NE;2010;3.99
3;SE;2010;4.64
4;S;2011;7.82
5;CO;2011;5.66
1;N;2011;4.29
2;NE;2011;4.29
3;SE;2011;4.81
1;N;2012;4.24
5;CO;2012;6.46
2;NE;2012;4.33
4;S;2012;8.49
3;SE;2012;4.9
3;SE;2013;4.68
5;CO;2013;6.37
1;N;2013;4.46
2;NE;2013;4.46
4;S;2013;8.21
4;S;2014;7.99
5;CO;2014;6.24
1;N;2014;4.1
2;NE;2014;4.25
3;SE;2014;5.03
4;S;2015;8.53
5;CO;2015;6.08
1;N;2015;5.03
2;NE;2015;4.49
3;SE;2015;5.04
4;S;2016;8.83
5;CO;2016;6.6
1;N;2016;4.65
2;NE;2016;4.78
3;SE;2016;4.92
3;SE;2017;5.33
5;CO;2017;7.06
1;N;2017;4.99
2;NE;2017;5.2
4;S;2017;9.65
3;SE;2018;5.32
5;CO;2018;7.33
1;N;2018;5.45
2;NE;2018;5.27
4;S;2018;9.71
4;S;2019;10.5
5;CO;2019;7.87
1;N;2019;5.74
2;NE;2019;5.4
3;SE;2019;5.57
4;S;2020;10.37
1;N;2020;5.99
2;NE;2020;5.64
3;SE;2020;5.66
5;CO;2020;7.87
4;S;2021;11.4
1;N;2021;6.39
2;NE;2021;6.57
3;SE;2021;6.25
5;CO;2021;8.45
1;N;2022;6.68
5;CO;2022;6.98
4;S;2022;9.5
2;NE;2022;6.64
3;SE;2022;12.1
