cod;nome;período;valor
1076;BRA;1989;0.09
1076;BRA;1990;0.12
1076;BRA;1991;0.12
1076;BRA;1992;0.13
1076;BRA;1993;0.13
1076;BRA;1994;0.15
1076;BRA;1995;0.13
1076;BRA;1996;0.14
1076;BRA;1997;0.15
1076;BRA;1998;0.11
1076;BRA;1999;0.09
1076;BRA;2000;0.2
1076;BRA;2001;0.2
1076;BRA;2002;0.19
1076;BRA;2003;0.16
1076;BRA;2004;0.16
1076;BRA;2005;0.13
1076;BRA;2006;0.14
1076;BRA;2007;0.14
1076;BRA;2008;0.12
1076;BRA;2009;0.11
1076;BRA;2010;0.1
1076;BRA;2011;0.08
1076;BRA;2012;0.11
1076;BRA;2013;0.11
1076;BRA;2014;0.1
1076;BRA;2015;0.08
1076;BRA;2016;0.08
1076;BRA;2017;0.11
1076;BRA;2018;0.09
1076;BRA;2019;0.08
1076;BRA;2020;0.09
1076;BRA;2021;0.08
1076;BRA;2022;0.09
