cod;nome;período;valor
4;S;1989;0
3;SE;1989;0
5;CO;1989;0.01
1;N;1989;0
2;NE;1989;0
5;CO;1990;0.01
3;SE;1990;0
4;S;1990;0
2;NE;1990;0
1;N;1990;0
3;SE;1991;0
1;N;1991;0
2;NE;1991;0
4;S;1991;0.01
5;CO;1991;0.01
4;S;1992;0
3;SE;1992;0
2;NE;1992;0
1;N;1992;0
5;CO;1992;0.01
5;CO;1993;0.02
3;SE;1993;0
4;S;1993;0
2;NE;1993;0
1;N;1993;0
5;CO;1994;0.02
3;SE;1994;0
4;S;1994;0.01
2;NE;1994;0
1;N;1994;0
5;CO;1995;0.02
3;SE;1995;0
4;S;1995;0
2;NE;1995;0
1;N;1995;0
5;CO;1996;0.01
3;SE;1996;0
4;S;1996;0.01
2;NE;1996;0
1;N;1996;0
1;N;1997;0
3;SE;1997;0
4;S;1997;0.01
2;NE;1997;0
5;CO;1997;0.02
1;N;1998;0
3;SE;1998;0
4;S;1998;0.01
2;NE;1998;0
5;CO;1998;0.01
1;N;1999;0
3;SE;1999;0
4;S;1999;0
2;NE;1999;0
5;CO;1999;0.01
3;SE;2000;0.14
1;N;2000;0.08
5;CO;2000;0.49
2;NE;2000;0.09
4;S;2000;0.51
5;CO;2001;0.35
3;SE;2001;0.15
4;S;2001;0.53
2;NE;2001;0.09
1;N;2001;0.09
1;N;2002;0.12
5;CO;2002;0.31
4;S;2002;0.51
3;SE;2002;0.13
2;NE;2002;0.1
4;S;2003;0.45
3;SE;2003;0.13
1;N;2003;0.1
2;NE;2003;0.04
5;CO;2003;0.3
4;S;2004;0.4
1;N;2004;0.17
2;NE;2004;0.07
3;SE;2004;0.12
5;CO;2004;0.27
4;S;2005;0.36
1;N;2005;0.06
2;NE;2005;0.06
3;SE;2005;0.09
5;CO;2005;0.37
3;SE;2006;0.11
5;CO;2006;0.21
4;S;2006;0.41
2;NE;2006;0.07
1;N;2006;0.04
4;S;2007;0.35
5;CO;2007;0.25
1;N;2007;0.16
2;NE;2007;0.05
3;SE;2007;0.11
1;N;2008;0.08
5;CO;2008;0.14
4;S;2008;0.29
3;SE;2008;0.11
2;NE;2008;0.06
5;CO;2009;0.14
2;NE;2009;0.04
3;SE;2009;0.09
4;S;2009;0.33
1;N;2009;0.09
2;NE;2010;0.06
5;CO;2010;0.14
4;S;2010;0.27
3;SE;2010;0.07
1;N;2010;0.09
1;N;2011;0.06
5;CO;2011;0.1
4;S;2011;0.17
3;SE;2011;0.09
2;NE;2011;0.03
1;N;2012;0.07
5;CO;2012;0.15
4;S;2012;0.27
3;SE;2012;0.09
2;NE;2012;0.05
2;NE;2013;0.03
5;CO;2013;0.19
4;S;2013;0.3
3;SE;2013;0.09
1;N;2013;0.05
2;NE;2014;0.04
5;CO;2014;0.07
4;S;2014;0.27
3;SE;2014;0.08
1;N;2014;0.09
5;CO;2015;0.09
2;NE;2015;0.03
3;SE;2015;0.09
4;S;2015;0.16
1;N;2015;0.09
1;N;2016;0.06
5;CO;2016;0.15
4;S;2016;0.17
3;SE;2016;0.06
2;NE;2016;0.06
5;CO;2017;0.15
1;N;2017;0.02
2;NE;2017;0.05
3;SE;2017;0.09
4;S;2017;0.29
1;N;2018;0.08
5;CO;2018;0.17
4;S;2018;0.21
3;SE;2018;0.07
2;NE;2018;0.04
5;CO;2019;0.26
1;N;2019;0.04
2;NE;2019;0.04
3;SE;2019;0.06
4;S;2019;0.16
4;S;2020;0.23
5;CO;2020;0.2
1;N;2020;0.05
2;NE;2020;0.02
3;SE;2020;0.08
4;S;2021;0.2
5;CO;2021;0.09
1;N;2021;0.03
2;NE;2021;0.05
3;SE;2021;0.08
2;NE;2022;0.05
5;CO;2022;0.21
1;N;2022;0.06
3;SE;2022;0.06
4;S;2022;0.21
