cod;nome;período;valor
17;TO;1989;0
43;RS;1989;0.2
42;SC;1989;0.23
28;SE;1989;0
35;SP;1989;0.1
11;RO;1989;0
24;RN;1989;0.04
33;RJ;1989;0.04
41;PR;1989;0.23
12;AC;1989;0.5
27;AL;1989;0
13;AM;1989;0.05
16;AP;1989;0
29;BA;1989;0.04
23;CE;1989;0.03
53;DF;1989;0.13
32;ES;1989;0
52;GO;1989;0.23
21;MA;1989;0
31;MG;1989;0.05
50;MS;1989;0.18
51;MT;1989;0.05
15;PA;1989;0.11
25;PB;1989;0.03
26;PE;1989;0.01
22;PI;1989;0.04
14;RR;1989;0
24;RN;1990;0.08
13;AM;1990;0.05
16;AP;1990;0
29;BA;1990;0.03
23;CE;1990;0.1
53;DF;1990;0.13
32;ES;1990;0.16
52;GO;1990;0.08
21;MA;1990;0.04
31;MG;1990;0.12
50;MS;1990;0.4
12;AC;1990;0
26;PE;1990;0.04
22;PI;1990;0.08
41;PR;1990;0.22
25;PB;1990;0.03
15;PA;1990;0.1
51;MT;1990;0.15
33;RJ;1990;0.07
11;RO;1990;0.19
14;RR;1990;0
43;RS;1990;0.33
42;SC;1990;0.22
28;SE;1990;0
35;SP;1990;0.12
17;TO;1990;0.11
27;AL;1990;0.04
53;DF;1991;0.37
23;CE;1991;0.08
29;BA;1991;0.01
52;GO;1991;0.12
21;MA;1991;0.04
31;MG;1991;0.1
50;MS;1991;0.39
51;MT;1991;0.05
15;PA;1991;0.14
25;PB;1991;0.06
26;PE;1991;0.11
22;PI;1991;0.04
41;PR;1991;0.31
33;RJ;1991;0.05
24;RN;1991;0.04
11;RO;1991;0.18
14;RR;1991;0
43;RS;1991;0.38
42;SC;1991;0.2
28;SE;1991;0.07
35;SP;1991;0.1
17;TO;1991;0.11
12;AC;1991;0
16;AP;1991;0
13;AM;1991;0
27;AL;1991;0
32;ES;1991;0.19
53;DF;1992;0.24
17;TO;1992;0.11
35;SP;1992;0.14
28;SE;1992;0.2
42;SC;1992;0.13
43;RS;1992;0.37
14;RR;1992;0.45
11;RO;1992;0.35
24;RN;1992;0.16
33;RJ;1992;0.05
41;PR;1992;0.21
22;PI;1992;0
26;PE;1992;0.14
25;PB;1992;0.03
15;PA;1992;0.08
51;MT;1992;0.05
50;MS;1992;0.22
31;MG;1992;0.11
21;MA;1992;0.02
52;GO;1992;0.24
32;ES;1992;0.11
23;CE;1992;0.11
29;BA;1992;0.02
16;AP;1992;0
13;AM;1992;0.14
27;AL;1992;0.2
12;AC;1992;0
35;SP;1993;0.13
17;TO;1993;0.1
27;AL;1993;0.15
13;AM;1993;0.27
16;AP;1993;0
29;BA;1993;0.05
12;AC;1993;0
23;CE;1993;0.09
53;DF;1993;0.3
32;ES;1993;0.04
52;GO;1993;0.34
21;MA;1993;0
31;MG;1993;0.11
50;MS;1993;0.43
51;MT;1993;0.23
15;PA;1993;0.1
25;PB;1993;0
26;PE;1993;0.12
22;PI;1993;0
41;PR;1993;0.24
33;RJ;1993;0.11
24;RN;1993;0.12
11;RO;1993;0
14;RR;1993;0.41
43;RS;1993;0.29
42;SC;1993;0.06
28;SE;1993;0
51;MT;1994;0.09
12;AC;1994;0
27;AL;1994;0.15
13;AM;1994;0.13
16;AP;1994;0
29;BA;1994;0.03
23;CE;1994;0.12
53;DF;1994;0.47
32;ES;1994;0.11
52;GO;1994;0.31
21;MA;1994;0
31;MG;1994;0.11
50;MS;1994;0.48
15;PA;1994;0.04
25;PB;1994;0.09
26;PE;1994;0.09
22;PI;1994;0.07
41;PR;1994;0.27
33;RJ;1994;0.1
24;RN;1994;0.16
11;RO;1994;0.08
14;RR;1994;0
43;RS;1994;0.47
42;SC;1994;0.15
28;SE;1994;0
35;SP;1994;0.16
17;TO;1994;0.2
31;MG;1995;0.13
12;AC;1995;0.22
27;AL;1995;0.07
13;AM;1995;0.04
16;AP;1995;0
29;BA;1995;0.03
23;CE;1995;0.04
53;DF;1995;0.4
32;ES;1995;0.22
52;GO;1995;0.28
21;MA;1995;0.02
50;MS;1995;0.52
51;MT;1995;0.3
15;PA;1995;0.13
25;PB;1995;0
26;PE;1995;0.23
22;PI;1995;0.04
41;PR;1995;0.15
33;RJ;1995;0.08
24;RN;1995;0.12
11;RO;1995;0.07
14;RR;1995;0
43;RS;1995;0.46
42;SC;1995;0.12
28;SE;1995;0.06
35;SP;1995;0.09
17;TO;1995;0
22;PI;1996;0.04
15;PA;1996;0.04
50;MS;1996;0.41
26;PE;1996;0.26
12;AC;1996;0
27;AL;1996;0
13;AM;1996;0.08
16;AP;1996;0.26
29;BA;1996;0.02
23;CE;1996;0.07
53;DF;1996;0.33
32;ES;1996;0.14
25;PB;1996;0
52;GO;1996;0.2
21;MA;1996;0.04
31;MG;1996;0.08
51;MT;1996;0.22
17;TO;1996;0.1
35;SP;1996;0.12
28;SE;1996;0
42;SC;1996;0.21
43;RS;1996;0.56
14;RR;1996;0
11;RO;1996;0.08
24;RN;1996;0.12
33;RJ;1996;0.05
41;PR;1996;0.32
14;RR;1997;0.39
11;RO;1997;0.08
16;AP;1997;0
13;AM;1997;0.12
27;AL;1997;0.04
12;AC;1997;0.4
24;RN;1997;0.23
33;RJ;1997;0.09
41;PR;1997;0.28
22;PI;1997;0
26;PE;1997;0.21
25;PB;1997;0.03
15;PA;1997;0.09
51;MT;1997;0.13
50;MS;1997;0.31
31;MG;1997;0.11
21;MA;1997;0
52;GO;1997;0.3
32;ES;1997;0.21
53;DF;1997;0.43
23;CE;1997;0.06
29;BA;1997;0
35;SP;1997;0.13
17;TO;1997;0
28;SE;1997;0
42;SC;1997;0.12
43;RS;1997;0.55
17;TO;1998;0
35;SP;1998;0.07
28;SE;1998;0.12
42;SC;1998;0.2
43;RS;1998;0.55
14;RR;1998;0
11;RO;1998;0.31
24;RN;1998;0.15
33;RJ;1998;0.06
41;PR;1998;0.32
22;PI;1998;0.04
26;PE;1998;0.07
25;PB;1998;0.06
15;PA;1998;0.05
12;AC;1998;0
27;AL;1998;0
13;AM;1998;0
51;MT;1998;0.3
50;MS;1998;0.3
31;MG;1998;0.05
21;MA;1998;0.02
52;GO;1998;0.06
32;ES;1998;0.17
53;DF;1998;0.05
23;CE;1998;0.06
29;BA;1998;0.02
16;AP;1998;0
14;RR;1999;0.37
43;RS;1999;0.46
42;SC;1999;0.22
28;SE;1999;0.06
35;SP;1999;0.06
33;RJ;1999;0.03
17;TO;1999;0.09
24;RN;1999;0.11
11;RO;1999;0
41;PR;1999;0.12
22;PI;1999;0
26;PE;1999;0.15
25;PB;1999;0
15;PA;1999;0.05
51;MT;1999;0.13
50;MS;1999;0.2
31;MG;1999;0.02
21;MA;1999;0.02
52;GO;1999;0.21
32;ES;1999;0.14
53;DF;1999;0.05
23;CE;1999;0.08
29;BA;1999;0.02
16;AP;1999;0
13;AM;1999;0.08
27;AL;1999;0.07
12;AC;1999;0
42;SC;2000;0.15
12;AC;2000;0.69
27;AL;2000;0
13;AM;2000;0
16;AP;2000;0.4
29;BA;2000;0.03
23;CE;2000;0.13
53;DF;2000;0.73
32;ES;2000;0.25
52;GO;2000;0.39
21;MA;2000;0.07
31;MG;2000;0.1
50;MS;2000;0.66
51;MT;2000;0.32
15;PA;2000;0.03
25;PB;2000;0
26;PE;2000;0.21
22;PI;2000;0
41;PR;2000;0.41
33;RJ;2000;0.09
24;RN;2000;0.14
11;RO;2000;0.15
14;RR;2000;0
43;RS;2000;0.78
28;SE;2000;0.21
35;SP;2000;0.17
17;TO;2000;0
12;AC;2001;0.33
17;TO;2001;0.17
35;SP;2001;0.17
28;SE;2001;0.11
42;SC;2001;0.64
31;MG;2001;0.13
50;MS;2001;0.37
51;MT;2001;0.55
15;PA;2001;0.03
25;PB;2001;0.11
26;PE;2001;0.09
22;PI;2001;0.07
41;PR;2001;0.4
33;RJ;2001;0.13
24;RN;2001;0.34
11;RO;2001;0.14
14;RR;2001;0.59
