cod;nome;período;valor
1076;BRA;1980;0.555
1076;BRA;1981;0.603
1076;BRA;1982;0.531
1076;BRA;1983;0.624
1076;BRA;1984;0.594
1076;BRA;1985;0.593
1076;BRA;1986;0.587
1076;BRA;1987;0.695
1076;BRA;1988;0.594
1076;BRA;1989;0.6
1076;BRA;1990;0.68
1076;BRA;1991;0.7
1076;BRA;1992;0.73
1076;BRA;1993;0.77
1076;BRA;1994;0.85
1076;BRA;1995;0.99
1076;BRA;1996;0.98
1076;BRA;1997;0.96
1076;BRA;1998;0.87
1076;BRA;1999;0.76
1076;BRA;2000;0.8
1076;BRA;2001;0.81
1076;BRA;2002;0.78
1076;BRA;2003;0.75
1076;BRA;2004;0.68
1076;BRA;2005;0.66
1076;BRA;2006;0.6
1076;BRA;2007;0.62
1076;BRA;2008;0.59
1076;BRA;2009;0.55
1076;BRA;2010;0.5
1076;BRA;2011;0.47
1076;BRA;2012;0.51
1076;BRA;2013;0.51
1076;BRA;2014;0.48
1076;BRA;2015;0.44
1076;BRA;2016;0.46
1076;BRA;2017;0.46
1076;BRA;2018;0.47
1076;BRA;2019;0.46
1076;BRA;2020;0.45
1076;BRA;2021;0.49
1076;BRA;2022;0.51
