cod;nome;período;valor
3;SE;1980;0.512
4;S;1980;1.088
1;N;1980;0.646
5;CO;1980;0.742
2;NE;1980;0.27
3;SE;1981;0.607
2;NE;1981;0.305
5;CO;1981;0.799
1;N;1981;0.392
4;S;1981;1.147
5;CO;1982;0.634
2;NE;1982;0.324
3;SE;1982;0.532
1;N;1982;0.347
4;S;1982;0.941
1;N;1983;0.598
2;NE;1983;0.298
4;S;1983;1.163
3;SE;1983;0.607
5;CO;1983;0.946
1;N;1984;0.446
2;NE;1984;0.258
4;S;1984;1.166
3;SE;1984;0.585
5;CO;1984;0.942
1;N;1985;0.514
4;S;1985;1.223
5;CO;1985;0.888
3;SE;1985;0.525
2;NE;1985;0.313
1;N;1986;0.483
5;CO;1986;0.837
2;NE;1986;0.249
4;S;1986;1.081
3;SE;1986;0.618
1;N;1987;0.83
3;SE;1987;0.64
4;S;1987;1.185
2;NE;1987;0.378
5;CO;1987;1.214
3;SE;1988;0.567
5;CO;1988;1.09
1;N;1988;0.45
4;S;1988;1.113
2;NE;1988;0.285
5;CO;1989;1.17
3;SE;1989;0.54
1;N;1989;0.64
2;NE;1989;0.25
4;S;1989;1.14
2;NE;1990;0.37
5;CO;1990;1
1;N;1990;0.53
4;S;1990;1.37
3;SE;1990;0.63
4;S;1991;1.34
2;NE;1991;0.37
5;CO;1991;1.32
3;SE;1991;0.61
1;N;1991;0.68
4;S;1992;1.3
5;CO;1992;1.39
2;NE;1992;0.38
1;N;1992;0.52
3;SE;1992;0.69
1;N;1993;0.58
4;S;1993;1.43
5;CO;1993;1.62
3;SE;1993;0.69
2;NE;1993;0.39
4;S;1994;1.72
5;CO;1994;1.56
2;NE;1994;0.43
1;N;1994;0.53
3;SE;1994;0.78
3;SE;1995;0.83
1;N;1995;0.6
2;NE;1995;0.52
4;S;1995;2.08
5;CO;1995;2.16
3;SE;1996;0.81
4;S;1996;2.22
2;NE;1996;0.45
1;N;1996;0.4
5;CO;1996;2.12
1;N;1997;0.62
3;SE;1997;0.81
4;S;1997;2.15
2;NE;1997;0.46
5;CO;1997;1.75
5;CO;1998;1.4
3;SE;1998;0.65
2;NE;1998;0.39
1;N;1998;0.67
4;S;1998;2.24
1;N;1999;0.43
3;SE;1999;0.51
4;S;1999;2.11
2;NE;1999;0.39
5;CO;1999;1.32
1;N;2000;0.44
2;NE;2000;0.35
4;S;2000;2.02
3;SE;2000;0.58
5;CO;2000;1.67
4;S;2001;1.87
2;NE;2001;0.41
1;N;2001;0.54
5;CO;2001;1.49
3;SE;2001;0.65
5;CO;2002;1.5
2;NE;2002;0.42
1;N;2002;0.41
3;SE;2002;0.62
4;S;2002;1.77
4;S;2003;1.77
2;NE;2003;0.33
1;N;2003;0.45
3;SE;2003;0.61
5;CO;2003;1.41
2;NE;2004;0.37
1;N;2004;0.52
3;SE;2004;0.55
5;CO;2004;0.9
4;S;2004;1.62
2;NE;2005;0.38
3;SE;2005;0.54
5;CO;2005;1.06
1;N;2005;0.44
4;S;2005;1.47
3;SE;2006;0.51
4;S;2006;1.34
1;N;2006;0.34
2;NE;2006;0.38
5;CO;2006;0.82
5;CO;2007;0.85
3;SE;2007;0.47
4;S;2007;1.38
2;NE;2007;0.4
1;N;2007;0.53
5;CO;2008;0.85
2;NE;2008;0.39
3;SE;2008;0.47
4;S;2008;1.21
1;N;2008;0.56
1;N;2009;0.42
2;NE;2009;0.33
5;CO;2009;0.73
3;SE;2009;0.46
4;S;2009;1.26
4;S;2010;0.98
1;N;2010;0.39
5;CO;2010;0.59
3;SE;2010;0.45
2;NE;2010;0.35
4;S;2011;0.94
1;N;2011;0.42
5;CO;2011;0.61
3;SE;2011;0.44
2;NE;2011;0.26
4;S;2012;1.04
1;N;2012;0.58
5;CO;2012;0.64
3;SE;2012;0.41
2;NE;2012;0.31
4;S;2013;1.14
3;SE;2013;0.42
5;CO;2013;0.72
1;N;2013;0.47
2;NE;2013;0.29
5;CO;2014;0.64
3;SE;2014;0.4
4;S;2014;0.97
2;NE;2014;0.33
1;N;2014;0.34
1;N;2015;0.36
2;NE;2015;0.28
5;CO;2015;0.58
4;S;2015;0.98
3;SE;2015;0.35
4;S;2016;0.91
1;N;2016;0.38
2;NE;2016;0.3
3;SE;2016;0.39
5;CO;2016;0.65
1;N;2017;0.34
4;S;2017;1.01
2;NE;2017;0.35
5;CO;2017;0.55
3;SE;2017;0.35
4;S;2018;1.06
5;CO;2018;0.75
1;N;2018;0.29
3;SE;2018;0.35
2;NE;2018;0.31
4;S;2019;0.95
2;NE;2019;0.33
3;SE;2019;0.35
1;N;2019;0.36
5;CO;2019;0.73
4;S;2020;1.09
2;NE;2020;0.31
1;N;2020;0.33
3;SE;2020;0.33
5;CO;2020;0.59
4;S;2021;0.96
1;N;2021;0.39
2;NE;2021;0.36
3;SE;2021;0.38
5;CO;2021;0.77
1;N;2022;0.34
3;SE;2022;1.09
4;S;2022;0.39
2;NE;2022;0.38
5;CO;2022;0.81
