cod;nome;período;valor
33;RJ;1980;0.3454
32;ES;1980;0.5437
29;BA;1980;0.2538
28;SE;1980;0.2631
27;AL;1980;0.5547
26;PE;1980;0.3744
25;PB;1980;0.2166
24;RN;1980;0.5266
23;CE;1980;0.1702
22;PI;1980;0.2337
21;MA;1980;0.0751
16;AP;1980;0.5706
15;PA;1980;0.4701
14;RR;1980;12.639
13;AM;1980;0.4893
12;AC;1980;13.277
11;RO;1980;18.329
17;TO;1980;0
31;MG;1980;0.725
41;PR;1980;0.983
52;GO;1980;0.6735
53;DF;1980;0.4248
51;MT;1980;0.0878
50;MS;1980;17.521
43;RS;1980;13.893
42;SC;1980;0.6615
35;SP;1980;0.4712
32;ES;1981;0.3385
11;RO;1981;0.9248
12;AC;1981;0.3223
13;AM;1981;0.0675
14;RR;1981;11.128
15;PA;1981;0.5393
21;MA;1981;0.0492
23;CE;1981;0.2979
24;RN;1981;0.6191
25;PB;1981;0.4637
26;PE;1981;0.5306
27;AL;1981;0.3459
28;SE;1981;0.1713
29;BA;1981;0.2074
31;MG;1981;0.9291
41;PR;1981;0.8839
42;SC;1981;0.6759
43;RS;1981;16.245
50;MS;1981;0.9277
52;GO;1981;11.598
53;DF;1981;0.496
51;MT;1981;0
35;SP;1981;0.595
33;RJ;1981;0.298
22;PI;1981;0.138
17;TO;1981;0
16;AP;1981;0
41;PR;1982;0.8237
50;MS;1982;10.417
51;MT;1982;0.0775
53;DF;1982;0.3201
42;SC;1982;0.6077
52;GO;1982;0.794
33;RJ;1982;0.277
17;TO;1982;0
14;RR;1982;0
35;SP;1982;0.5504
32;ES;1982;0.6596
13;AM;1982;0.3882
15;PA;1982;0.2998
16;AP;1982;10.265
12;AC;1982;0.6225
11;RO;1982;0.6654
21;MA;1982;0.0722
22;PI;1982;0.3612
23;CE;1982;0.1644
31;MG;1982;0.6892
29;BA;1982;0.3547
28;SE;1982;0.1666
27;AL;1982;0.2893
26;PE;1982;0.4911
25;PB;1982;0.3516
24;RN;1982;0.6543
43;RS;1982;12.113
35;SP;1983;0.7244
11;RO;1983;12.089
13;AM;1983;0.9322
15;PA;1983;0.4718
16;AP;1983;19.454
21;MA;1983;0.0707
22;PI;1983;0.2659
23;CE;1983;0.2152
24;RN;1983;0.6386
27;AL;1983;0.7062
28;SE;1983;0.1621
29;BA;1983;0.1585
31;MG;1983;0.6497
32;ES;1983;0.5512
33;RJ;1983;0.2993
50;MS;1983;14.2
26;PE;1983;0.484
25;PB;1983;0.416
17;TO;1983;0
14;RR;1983;0
12;AC;1983;0
52;GO;1983;11.608
51;MT;1983;0.2182
43;RS;1983;14.871
42;SC;1983;0.9558
41;PR;1983;0.9303
53;DF;1983;0.6203
41;PR;1984;12.871
43;RS;1984;12.945
14;RR;1984;0
15;PA;1984;0.404
17;TO;1984;0
33;RJ;1984;0.3632
32;ES;1984;0.5378
31;MG;1984;0.6746
29;BA;1984;0.3681
26;PE;1984;0.4309
25;PB;1984;0.2051
24;RN;1984;0.3358
23;CE;1984;0.0881
22;PI;1984;0.1305
21;MA;1984;0.0462
16;AP;1984;18.486
13;AM;1984;0.2989
12;AC;1984;0.5827
11;RO;1984;11.077
42;SC;1984;0.657
50;MS;1984;11.202
51;MT;1984;0.6855
52;GO;1984;12.484
53;DF;1984;0.2256
27;AL;1984;0.368
28;SE;1984;0
35;SP;1984;0.6387
24;RN;1985;0.7501
11;RO;1985;14.058
12;AC;1985;0.2823
13;AM;1985;0.5761
14;RR;1985;0.7041
15;PA;1985;0.4384
16;AP;1985;0.4403
21;MA;1985;0.0905
22;PI;1985;0.4273
23;CE;1985;0.1904
25;PB;1985;0.1686
26;PE;1985;0.5614
27;AL;1985;0.6295
31;MG;1985;0.5328
32;ES;1985;0.4813
33;RJ;1985;0.2755
35;SP;1985;0.6318
41;PR;1985;11.373
42;SC;1985;0.7173
43;RS;1985;15.488
50;MS;1985;14.137
51;MT;1985;0.5187
52;GO;1985;0.9069
53;DF;1985;0.6571
17;TO;1985;0
28;SE;1985;0
29;BA;1985;0.218
35;SP;1986;0.6673
51;MT;1986;0.8
42;SC;1986;0.654
31;MG;1986;0.777
28;SE;1986;0.075
17;TO;1986;0
16;AP;1986;12.62
14;RR;1986;0
11;RO;1986;10.686
12;AC;1986;0.5479
13;AM;1986;0.3336
15;PA;1986;0.4941
21;MA;1986;0.0887
22;PI;1986;0.2939
23;CE;1986;0.1191
24;RN;1986;0.2292
25;PB;1986;0.3992
26;PE;1986;0.3442
27;AL;1986;0.7038
29;BA;1986;0.2042
32;ES;1986;0.5557
33;RJ;1986;0.3217
53;DF;1986;0.5678
52;GO;1986;0.8582
50;MS;1986;10.662
43;RS;1986;13.262
41;PR;1986;10.399
21;MA;1987;0.152
52;GO;1987;14.62
53;DF;1987;0.76
11;RO;1987;16.65
12;AC;1987;13.31
13;AM;1987;0.591
14;RR;1987;0
15;PA;1987;0.888
16;AP;1987;12.09
17;TO;1987;0
22;PI;1987;0.289
23;CE;1987;0.184
24;RN;1987;0.404
25;PB;1987;0.788
26;PE;1987;0.443
27;AL;1987;0.689
28;SE;1987;0.366
29;BA;1987;0.373
31;MG;1987;0.705
32;ES;1987;0.543
33;RJ;1987;0.318
35;SP;1987;0.749
41;PR;1987;12.88
42;SC;1987;0.76
43;RS;1987;12.95
50;MS;1987;14.09
51;MT;1987;0.879
32;ES;1988;0.8592
11;RO;1988;0.9388
12;AC;1988;10.359
13;AM;1988;0.4165
15;PA;1988;0.3973
16;AP;1988;0.7739
53;DF;1988;0.8748
52;GO;1988;14.833
51;MT;1988;0.8397
50;MS;1988;0.6591
43;RS;1988;14.141
42;SC;1988;0.7918
41;PR;1988;0.9603
21;MA;1988;0.2138
22;PI;1988;0.0812
17;TO;1988;0
35;SP;1988;0.6675
31;MG;1988;0.5099
14;RR;1988;0
23;CE;1988;0.1646
24;RN;1988;0.7032
25;PB;1988;0.4215
26;PE;1988;0.2915
27;AL;1988;0.3376
28;SE;1988;0.2148
29;BA;1988;0.2943
33;RJ;1988;0.3388
21;MA;1989;0.08
11;RO;1989;0.98
42;SC;1989;0.86
17;TO;1989;0.67
51;MT;1989;0.64
35;SP;1989;0.62
24;RN;1989;0.6
32;ES;1989;0.6
15;PA;1989;0.57
31;MG;1989;0.56
13;AM;1989;0.5
27;AL;1989;0.41
16;AP;1989;0.37
26;PE;1989;0.33
33;RJ;1989;0.31
23;CE;1989;0.27
25;PB;1989;0.25
12;AC;1989;17.66
43;RS;1989;13.72
50;MS;1989;13.49
52;GO;1989;12.19
41;PR;1989;10.48
53;DF;1989;15.1
14;RR;1989;0
29;BA;1989;0.2
28;SE;1989;0.07
22;PI;1989;0.23
41;PR;1990;10.75
15;PA;1990;0.52
33;RJ;1990;0.41
25;PB;1990;0.41
14;RR;1990;0.49
23;CE;1990;0.51
27;AL;1990;0.52
52;GO;1990;0.63
26;PE;1990;0.66
35;SP;1990;0.67
31;MG;1990;0.7
32;ES;1990;0.74
51;MT;1990;0.77
12;AC;1990;0.98
17;TO;1990;0.33
24;RN;1990;0.29
29;BA;1990;0.24
22;PI;1990;0.19
13;AM;1990;0.19
21;MA;1990;0.18
28;SE;1990;0.06
16;AP;1990;0
50;MS;1990;20.11
43;RS;1990;17.43
11;RO;1990;14.02
42;SC;1990;12.12
53;DF;1990;10.9
14;RR;1991;13.79
11;RO;1991;0.88
15;PA;1991;0.7
35;SP;1991;0.7
28;SE;1991;0.67
31;MG;1991;0.64
51;MT;1991;0.64
26;PE;1991;0.6
23;CE;1991;0.55
24;RN;1991;0.49
27;AL;1991;0.39
16;AP;1991;0.34
17;TO;1991;0.32
33;RJ;1991;0.28
13;AM;1991;0.28
25;PB;1991;0.28
29;BA;1991;0.21
22;PI;1991;0.19
21;MA;1991;0.16
12;AC;1991;26.33
53;DF;1991;23.11
